,tot,counts,mean
Stock Selection Criterion,5755109.5,105.0,54810.566666666666
Sterile Products (IV) Certification,79040.0,2.0,39520.0
Construction Accounting,25163306.5,359.0,70092.77576601671
Gemalto,0.0,0.0,
VAT Returns,2453560.0,16.0,153347.5
Transaction Processing Systems,12967728.0,91.0,142502.5054945055
Stool Guaiac Testing,0.0,0.0,
Airtable,5527985.5,90.0,61422.061111111114
Pediatric Radiology,0.0,0.0,
Children's Ministry,2312381.0,44.0,52554.11363636364
Java Batch,1371460.0,13.0,105496.92307692308
Water Balance,5837345.0,120.0,48644.541666666664
Veterans' Benefits,3945550.0,60.0,65759.16666666667
Play Therapy,7987501.5,86.0,92877.92441860466
Neurological Disorders,3306210.0,35.0,94463.14285714286
Physical Chemistry,1396714.5,22.0,63487.02272727273
Haitian Creole,420300.0,8.0,52537.5
OmniPeek,680160.0,7.0,97165.71428571429
CampusVue,634455.5,12.0,52871.291666666664
Clinical Engineering,3529789.0,37.0,95399.7027027027
Software Construction,4143301.0,48.0,86318.77083333333
PowerDesigner,896499.0,8.0,112062.375
Cauterization,15436784.5,117.0,131938.32905982906
Data Management Plan,9369068.0,82.0,114256.9268292683
Rolling (Metalworking),3368752.0,61.0,55225.44262295082
Tourette Syndrome,0.0,0.0,
Roadway Design,6792427.5,85.0,79910.91176470589
Electrical Inspection,5700688.5,100.0,57006.885
Social Integration,875648.0,13.0,67357.53846153847
Ranorex,2490255.0,20.0,124512.75
Cryostat,381114.5,7.0,54444.92857142857
CISCO Certified Network Professional - Security,3200490.0,26.0,123095.76923076923
Medical Case Management,6224053.0,116.0,53655.629310344826
Metal Framing,4562332.0,76.0,60030.68421052631
Operating Partner,3417456.0,46.0,74292.52173913043
Botany,7776054.5,166.0,46843.701807228914
Spring AOP,429600.0,4.0,107400.0
Headline Writing,1018380.0,20.0,50919.0
Bronchial Hygiene,2144086.0,40.0,53602.15
Online Surveys (Evaluation Methods),2322895.5,41.0,56655.98780487805
EMC NetWorker,322820.0,4.0,80705.0
Nursing Research,3697379.5,39.0,94804.60256410256
Clinical Neuropsychology,4577934.0,42.0,108998.42857142857
Pregnancy Options Counseling,428080.0,4.0,107020.0
Angel Investing,1862320.0,21.0,88681.90476190476
Youth Health,2885002.5,37.0,77973.04054054055
AutoCAD Plant 3D,3612754.0,42.0,86017.95238095238
Solar Panel Assembly,865327.0,14.0,61809.07142857143
Stereopsis,282046.5,8.0,35255.8125
Sweepstakes,176816.0,4.0,44204.0
Cortex M,0.0,0.0,
Chemical Mechanical Planarization,514833.0,8.0,64354.125
Artificial Nails,1303628.0,24.0,54317.833333333336
Exome Sequencing,120597.0,2.0,60298.5
Open Interface,0.0,0.0,
Policy Proposal,2538153.5,38.0,66793.51315789473
Sales Intelligence,722520.0,13.0,55578.46153846154
Visual Effects,10526097.5,112.0,93983.01339285714
Buffer Overflow,1799985.0,17.0,105881.4705882353
Moisture Analysis,1330116.0,36.0,36947.666666666664
Non-Profit Communications,647500.0,11.0,58863.63636363636
Microwave Oven,4874212.0,110.0,44311.01818181818
Aerial Photography,1853967.0,26.0,71306.42307692308
Metal Surface Finishing,2858654.0,64.0,44666.46875
SAP IS-U,860960.0,8.0,107620.0
Air Hammers,2072629.5,48.0,43179.78125
Object-Oriented JavaScript,6007974.0,51.0,117803.41176470589
Mechanic's Lien,1850814.5,28.0,66100.51785714286
Content Repository,2098096.0,17.0,123417.41176470589
Certified Ophthalmic Medical Technologist,371448.5,8.0,46431.0625
Solar Manufacturing,0.0,0.0,
Energy Efficiency Improvement,3430692.0,31.0,110667.48387096774
Printer Repair And Maintenance,6521269.0,167.0,39049.51497005988
Return Merchandise Authorization,5639232.5,113.0,49904.71238938053
External Cardiac Massage,772632.0,11.0,70239.27272727272
American Board Of Pathology Certification,1511883.5,12.0,125990.29166666667
Total Absorption Costing,841500.0,10.0,84150.0
Graph Theory,87360.0,3.0,29120.0
Shutter Speed,484026.0,7.0,69146.57142857143
Soil Sampling,2387267.0,49.0,48719.73469387755
Cardiotocography,7793992.5,59.0,132101.56779661018
General Aviation,10135182.5,96.0,105574.81770833333
Water Filters,1575447.0,33.0,47740.818181818184
ICD 503,951780.0,8.0,118972.5
Windows Firewall,569680.0,7.0,81382.85714285714
Flight Safety,1381208.0,20.0,69060.4
Laser Beam Welding,2475300.0,41.0,60373.170731707316
Kofax,2719721.0,39.0,69736.43589743589
Certified Coding Associate,828856.0,14.0,59204.0
Aesthetic Design,2481588.0,38.0,65304.94736842105
Pediatric First Aid,1211179.0,31.0,39070.290322580644
Supplier Evaluation,13919461.0,151.0,92181.86092715232
ASE Advanced Engine Performance Certification,463069.5,8.0,57883.6875
Submarine Warfare,404400.0,4.0,101100.0
Crane Signaling,1672121.5,26.0,64312.36538461538
VCloud,1199485.0,12.0,99957.08333333333
Rate Of Return,7651245.5,69.0,110887.61594202899
Development Economics,313500.0,4.0,78375.0
SkyJack,284400.0,5.0,56880.0
Innovation Leadership,1407400.0,11.0,127945.45454545454
Nuclear Fuel,0.0,0.0,
Conceptual Framework,2473557.0,19.0,130187.21052631579
ADP Reporting,3688288.0,57.0,64706.80701754386
Certification In Control Self-Assessment,4022700.0,33.0,121900.0
Next.js,10328755.0,80.0,129109.4375
Broadcast News,352057.0,10.0,35205.7
Multiprotocol BGP,723200.0,6.0,120533.33333333333
Hemostasis,124800.0,3.0,41600.0
Application Release Automation,5253095.0,36.0,145919.30555555556
Haematopoiesis,295292.5,3.0,98430.83333333333
Meningitis,184000.0,2.0,92000.0
Advanced Trauma Life Support,694790.0,6.0,115798.33333333333
Selinux,1145200.0,9.0,127244.44444444444
Pressure Drops,562368.0,6.0,93728.0
Agricultural Equipment,6251718.0,83.0,75321.90361445783
Market Value,17594906.5,244.0,72110.27254098361
Message-Oriented Middleware,6170138.0,50.0,123402.76
Sensory Integration Therapy,2856036.0,39.0,73231.69230769231
Persistent Memory,0.0,0.0,
Higher Education Law,444591.0,5.0,88918.2
Lip Sync,41600.0,1.0,41600.0
External Testing,1766778.0,32.0,55211.8125
Guided Reading,1636463.5,32.0,51139.484375
Project Cost Management,12990139.0,135.0,96223.25185185185
Distech (Building Automation System),141800.0,2.0,70900.0
Financial Efficiency,12739974.0,170.0,74941.02352941176
Cancer Genomics,182840.0,3.0,60946.666666666664
Bariatric Surgery,549697.5,7.0,78528.21428571429
FloTHERM (Thermal Analysis Software),767900.0,8.0,95987.5
Airfield Operations,1394768.0,19.0,73408.84210526316
Thread Safety,0.0,0.0,
Adrenal Glands,521339.5,16.0,32583.71875
Exhibit Design,1750174.0,34.0,51475.705882352944
IBM Storage,787480.0,8.0,98435.0
Code Reuse,5209751.5,39.0,133583.37179487178
Website Metrics,1438519.0,22.0,65387.22727272727
SARS Software Products,687674.5,10.0,68767.45
Food Technology,6177791.5,85.0,72679.9
Information Mapping,1583896.5,22.0,71995.29545454546
Go Server,2148640.0,63.0,34105.39682539683
Teleconferencing,2188719.0,28.0,78168.53571428571
Active Treatment,17423326.5,464.0,37550.27262931035
Antipsychotics,1717423.5,28.0,61336.55357142857
Ad Hoc Marketing,658628.0,13.0,50663.692307692305
Adaptive Design,4214236.0,39.0,108057.33333333333
Wirecast,912700.0,11.0,82972.72727272728
Equity Method,2393324.0,19.0,125964.42105263157
C Shell,377967.0,3.0,125989.0
Publish Subscribe,4025680.0,31.0,129860.64516129032
Policy Monitoring,1311837.5,19.0,69044.07894736843
Consecutive Interpretation,60000.0,1.0,60000.0
WebMethods Flow,120000.0,1.0,120000.0
Christian Education,1840846.0,53.0,34732.943396226416
Tender Offer,283800.0,3.0,94600.0
Gurobi,1684673.5,20.0,84233.675
Survey Data Analysis,4028496.0,43.0,93685.95348837209
Pixate,0.0,0.0,
Camunda,12746359.0,94.0,135599.56382978722
Social Media Planning,10910762.0,172.0,63434.66279069767
PL/pgSQL,1600200.0,12.0,133350.0
Filleting,2973632.5,82.0,36263.810975609755
Circuit Assembly,531620.0,13.0,40893.846153846156
Elementary Mathematics,2220665.0,50.0,44413.3
Capital Asset Pricing Models,0.0,0.0,
Demandware,5395881.5,43.0,125485.61627906977
Assisting Teachers,2951196.5,79.0,37356.917721518985
Generalized AutoRegressive Conditional Heteroskedasticity,1712966.5,12.0,142747.20833333334
Publication Design,797290.5,17.0,46899.44117647059
Registered Diagnostic Medical Sonographer,12039362.5,140.0,85995.44642857143
Integrated Logistics Support,1790677.0,46.0,38927.760869565216
Cardiac Risk Profile,611541.0,19.0,32186.36842105263
Combustion Turbines,1020002.5,11.0,92727.5
Statutory Interpretation,682615.0,8.0,85326.875
Metabolic Engineering,439182.0,5.0,87836.4
Dynamic Trunking Protocol,2262084.0,49.0,46164.97959183674
IWork,948170.0,25.0,37926.8
IBM Information Management System,1272119.5,13.0,97855.34615384616
Edius (Video Editing Software),0.0,0.0,
Concur Travel,2385371.0,47.0,50752.574468085106
Paid Inclusion,0.0,0.0,
Patient Hydration,1177961.5,25.0,47118.46
Software Quality Management,1811254.0,18.0,100625.22222222222
Metasys Building Automation System,1642125.0,29.0,56625.0
Viticulture,762920.0,10.0,76292.0
Choral Music,5584517.5,174.0,32094.92816091954
Cognitive Tests,515000.0,7.0,73571.42857142857
Google Home,511600.0,5.0,102320.0
Massage Oils And Lotions,961480.0,14.0,68677.14285714286
Spinal Anesthesia,2825600.0,17.0,166211.76470588235
Application Level Gateways,1233856.0,36.0,34273.77777777778
Medical Nutrition Therapy,4146537.5,72.0,57590.79861111111
Amazon S3 Buckets,5198336.5,39.0,133290.6794871795
Zapier,1595480.0,28.0,56981.42857142857
Compressed Natural Gas (CNG),653174.0,10.0,65317.4
Cross-Industry Standard Process for Data Mining (CRISP-DM),262075.0,2.0,131037.5
Distributed Object,1333821.0,10.0,133382.1
Central Line Care,10299047.0,80.0,128738.0875
Teach-Back Method,1710574.5,47.0,36395.20212765958
Certified Electrical Safety Compliance Professional,0.0,0.0,
Counseling Techniques,5727340.0,91.0,62937.8021978022
Wired Communications,135200.0,2.0,67600.0
SAP Human Resource Management Software,2991880.5,30.0,99729.35
Azure Service Fabric,6118042.5,56.0,109250.75892857143
Interface Builder,2062643.5,21.0,98221.11904761905
Peace And Conflict Studies,218400.0,5.0,43680.0
Evidence Management,91146.0,2.0,45573.0
Monoclonal Antibodies,1262389.0,18.0,70132.72222222222
Metal Spinning,415800.0,9.0,46200.0
Intrauterine Insemination (IUI),194480.0,3.0,64826.666666666664
Certification In Electronic Fetal Monitoring (C-EFM),331354.5,3.0,110451.5
Printed Wiring Assemblies,0.0,0.0,
Environmental Permitting,6085186.5,76.0,80068.24342105263
Audio Equipment,2767361.0,43.0,64357.232558139534
Nearshoring,4104285.0,37.0,110926.62162162163
Cross-Site Scripting,4022367.0,33.0,121889.90909090909
Windows Registry,1729960.0,20.0,86498.0
Audio Mixing,1575437.5,26.0,60593.75
Math Endorsement,3083070.5,61.0,50542.139344262294
Ichthyology,178969.0,3.0,59656.333333333336
Google Cloud Build,1710800.0,14.0,122200.0
Xen Servers,8629137.5,99.0,87163.00505050505
Fiber Channel,5741338.0,57.0,100725.22807017544
Windows Identity Foundation,0.0,0.0,
Embedded C,6762683.0,61.0,110863.65573770492
Private Placement,2910183.0,33.0,88187.36363636363
Normal Saline,0.0,0.0,
CryEngine,115000.0,1.0,115000.0
CouchDB,3101400.0,22.0,140972.72727272726
Fundamental Analysis,1594100.0,13.0,122623.07692307692
Plant Design Management System (PDMS),3449205.5,24.0,143716.89583333334
Oboe,1747437.5,94.0,18589.760638297874
HVAC Split Systems,2589575.0,38.0,68146.71052631579
Securitization,3729000.5,36.0,103583.34722222222
Monoliths,810300.0,5.0,162060.0
Rebase,712280.0,5.0,142456.0
Real Estate Marketing,4687824.0,101.0,46414.09900990099
Website Builder,2958780.0,38.0,77862.63157894737
Advanced Traffic Management Systems,0.0,0.0,
Electron Microprobe,353200.0,3.0,117733.33333333333
Institutional Change,282000.0,4.0,70500.0
Mobile Telephone Switching Office,444080.0,8.0,55510.0
Avian And Exotic Animal Care,4061820.0,57.0,71260.0
Hospitality Industry,497250.0,11.0,45204.545454545456
Business Liaison,5030178.0,57.0,88248.73684210527
Plasmid Preparation,215200.0,6.0,35866.666666666664
Tridium/Niagara Framework,2330910.0,33.0,70633.63636363637
Optical Comparator,10444964.5,209.0,49975.90669856459
Plotly,3477579.5,27.0,128799.24074074074
Prosthodontics,13202914.5,149.0,88610.1644295302
Graphite (Software),4955583.0,81.0,61180.03703703704
NVivo,1634611.0,29.0,56365.89655172414
Environmental Analysis,1423868.5,21.0,67803.26190476191
Mold Flow Analysis,5054686.5,66.0,76586.15909090909
International Education,4228330.5,72.0,58726.8125
Logical Volume Manager,5827790.0,54.0,107922.03703703704
Local Security Policy,1689312.5,20.0,84465.625
Safety Engineering,6713971.0,76.0,88341.72368421052
Yearbooks,2186531.0,47.0,46521.936170212764
Ethnography,3495313.0,35.0,99866.08571428571
App Transport Security,109200.0,1.0,109200.0
Uniformed Services Employment And Reemployment Rights Act,787217.0,8.0,98402.125
Activity Diagram,2938618.0,29.0,101331.6551724138
Sustainable Development,3666752.5,32.0,114586.015625
Certified Interpretive Guide,318160.0,9.0,35351.11111111111
Materials Management Information Systems,366031.5,6.0,61005.25
Nepali (Language),1020129.0,20.0,51006.45
Adobe Photoshop Elements,192280.0,5.0,38456.0
DoD Information Assurance Certification And Accreditation Process (DIACAP),1235986.5,13.0,95075.88461538461
Laptop Troubleshooting,439020.0,8.0,54877.5
Chemical Physics,0.0,0.0,
Water Wells,5021652.5,72.0,69745.17361111111
Shared Memory,769000.0,6.0,128166.66666666667
Bidding Documents,2729675.5,40.0,68241.8875
Registered Phlebology Sonographer,0.0,0.0,
Supplier Enablement,1652250.0,15.0,110150.0
Continuing Medical Education,6514574.0,52.0,125280.26923076923
Judiciary,502053.0,10.0,50205.3
Source Evaluation,410705.0,4.0,102676.25
English Endorsement,1824256.5,32.0,57008.015625
Child Protection,19017282.5,309.0,61544.60355987055
Pharmaceutical Packaging,3974848.0,78.0,50959.58974358974
Internet Security,6888400.5,87.0,79177.0172413793
Execution Time,599516.0,7.0,85645.14285714286
Logical Security,3518775.5,26.0,135337.51923076922
Stroke Recovery,432630.0,8.0,54078.75
Cyber Security Policies,5380921.5,51.0,105508.26470588235
Sediment Controls,3500191.0,52.0,67311.36538461539
3D Art,2460711.5,32.0,76897.234375
Electrostatic Discharge,2766522.0,53.0,52198.52830188679
RSA SecurID,1022660.0,10.0,102266.0
Wire Crimpers,1204360.0,32.0,37636.25
Master Systems,1125160.0,19.0,59218.94736842105
Institute For Supply Management,2157179.5,28.0,77042.125
Outdoor Education,6132422.5,186.0,32970.01344086022
Maximum Flow Problem,439450.0,7.0,62778.57142857143
Encephalitis,85280.0,1.0,85280.0
PowerBuilder,436800.0,3.0,145600.0
Data Compression,2874980.0,24.0,119790.83333333333
Oracle Marketing Cloud,4495466.0,37.0,121499.08108108108
Emergency Veterinary Medicine,4980696.0,58.0,85874.06896551725
Cytokine Assays,37440.0,1.0,37440.0
Ntlmv2,0.0,0.0,
MaxDB,330000.0,3.0,110000.0
Artwork,12262884.5,252.0,48662.24007936508
Splash Pages,149760.0,3.0,49920.0
Arbitrage,100000.0,1.0,100000.0
Specialist in Blood Banking (SBB-ASCP),1657077.5,25.0,66283.1
Baselining,2248450.0,24.0,93685.41666666667
Office Ally,1269000.0,33.0,38454.545454545456
Certified Professional In Healthcare Information And Management Systems,250000.0,2.0,125000.0
Peripheral Vascular Resistance,1442676.5,15.0,96178.43333333333
Tactical Communications,1656773.0,21.0,78893.95238095238
National Drug Code (NDC),2230998.5,27.0,82629.57407407407
Certified Radiologic Technologist/Technician,4551188.5,45.0,101137.52222222222
NgRx (Framework),9380335.5,76.0,123425.46710526316
Endurance Assessment,3444742.5,64.0,53824.1015625
Congenital Hypothyroidism,109200.0,4.0,27300.0
Civil Drafting,687312.0,13.0,52870.153846153844
Social Issue,13762160.5,182.0,75616.26648351649
JConsole,592794.0,5.0,118558.8
Securities Market,6568837.0,61.0,107685.85245901639
Chest Physiotherapy,862478.0,15.0,57498.53333333333
Capability Maturity Model,7973163.0,87.0,91645.55172413793
Wedding Photography,8461220.0,82.0,103185.60975609756
Archival Management,679496.5,12.0,56624.708333333336
Policy Studies,670912.0,10.0,67091.2
United States Pharmacopeia (USP) Compliance,4181739.0,77.0,54308.2987012987
Minority Interest,350606.5,3.0,116868.83333333333
Trajectory,0.0,0.0,
Professional Project Manager,1692349.0,14.0,120882.07142857143
Statistical Language Acquisition,881105.0,7.0,125872.14285714286
Winemaking,1152988.0,29.0,39758.206896551725
ManageEngine AssetExplorer,2925640.0,26.0,112524.61538461539
Z-Wave Protocol,1774600.0,16.0,110912.5
Institute Of Inspection Cleaning And Restoration Certification,3083920.0,77.0,40050.90909090909
Container-Managed Persistence,576400.0,5.0,115280.0
Private Duty Nursing,14466550.0,238.0,60783.82352941176
AGi32,460900.0,12.0,38408.333333333336
Universal Asynchronous Receiver/Transmitter,9557031.0,88.0,108602.625
Database Theory,3180712.0,34.0,93550.35294117648
Dynamic Data,3462980.0,33.0,104938.78787878787
Linear Video Editing,1393338.5,28.0,49762.08928571428
Generic Buffer Management,946500.0,11.0,86045.45454545454
Twisted Pair Cables,2621145.0,52.0,50406.63461538462
System Recovery,9737609.5,115.0,84674.8652173913
Microsoft WebMatrix,3143315.5,29.0,108390.18965517242
Human Biology,715240.0,10.0,71524.0
Radiofrequency Ablation,920419.0,9.0,102268.77777777778
Identity Verification,714584.0,16.0,44661.5
Federal Insecticide Fungicide And Rodenticide Act,2292901.5,20.0,114645.075
Project Layout,6296541.0,114.0,55232.81578947369
Software Bug,1848000.0,17.0,108705.88235294117
Residential Energy Efficiency,55120.0,1.0,55120.0
Advanced Pediatric Life Support,337748.0,4.0,84437.0
Style Sheets,2339827.0,35.0,66852.2
Foreign Account Tax Compliance Act,2974678.0,30.0,99155.93333333333
Microsoft Security Development Lifecycle,594400.0,5.0,118880.0
Oracle Unified Directory (OUD),1914954.0,15.0,127663.6
Random-Access Memory,1720196.0,41.0,41956.0
Digital Integration,1124134.0,14.0,80295.28571428571
Loss Reserving,1447001.0,12.0,120583.41666666667
Operationalization,2541739.5,20.0,127086.975
Insect Collection,460459.0,13.0,35419.92307692308
CSS Codes,2012943.5,24.0,83872.64583333333
Predetermined Motion Time Systems,608275.0,8.0,76034.375
Patient Administration Systems,5107998.0,80.0,63849.975
Stock Split,381780.0,8.0,47722.5
Istio,7992341.5,65.0,122959.1
Darwin Information Typing Architecture (DITA),1252836.5,17.0,73696.26470588235
Validation Therapy,379881.0,10.0,37988.1
Composites,2536400.0,42.0,60390.47619047619
Android SDK,31491260.0,272.0,115776.69117647059
Applied Physics,834280.0,11.0,75843.63636363637
AUTomotive Open System Architecture (AUTOSAR),3630202.5,29.0,125179.39655172414
Powerquery,1355716.0,15.0,90381.06666666667
Virology,2402341.5,24.0,100097.5625
Compliance Requirements,150000.0,1.0,150000.0
Airflow,3649703.0,58.0,62925.91379310345
Tracheal Intubation,2108964.0,42.0,50213.42857142857
Linux-Powered Devices,257500.0,2.0,128750.0
Legal Document Processing,1029303.0,25.0,41172.12
Strategic Fit,2300340.0,27.0,85197.77777777778
User Account Policies,554041.0,8.0,69255.125
Somali Language,1369956.0,21.0,65236.0
Genetic Engineering,518828.5,7.0,74118.35714285714
Hyperledger,735800.0,6.0,122633.33333333333
Amazon Route 53,782520.0,6.0,130420.0
BMC Remedy Action Request System,4112655.5,45.0,91392.34444444445
Academic Writing,2190860.5,41.0,53435.62195121951
Energy Saving Products,858936.0,15.0,57262.4
Turfgrass Management,5737511.5,128.0,44824.30859375
Bioarchaeology,0.0,0.0,
Digital Illustration,537660.0,11.0,48878.181818181816
Jupyter Notebook,2375914.5,21.0,113138.78571428571
Liniment,214098.0,7.0,30585.428571428572
Tealeaf,1311400.0,11.0,119218.18181818182
Extended Reach Drilling,8232426.5,94.0,87579.00531914894
Structured Systems Analysis And Design Methods,292702.0,3.0,97567.33333333333
Codeception,227247.0,3.0,75749.0
Paracentesis,3182965.0,34.0,93616.61764705883
Disease Surveillance,1805228.0,29.0,62249.24137931035
Suspicious Activity Report,3571293.0,47.0,75984.9574468085
Video Analytics,783999.5,7.0,111999.92857142857
Inter-Process Communication,175000.0,2.0,87500.0
Certificate Of Clinical Competence In Audiology (CCC-A),497750.0,4.0,124437.5
Dassault Syst Mes DELMIA (Software),0.0,0.0,
Connection Pooling,137280.0,1.0,137280.0
Environmental Studies,7702672.0,126.0,61132.31746031746
Overhead Cost Analysis,1286510.0,17.0,75677.05882352941
Redux-Saga,9761804.0,74.0,131916.27027027027
Biopharmaceutical Manufacturing,1026437.5,9.0,114048.61111111111
Bloomberg Terminal,1747910.5,18.0,97106.13888888889
Capital IQ (Software),2738150.0,29.0,94418.96551724138
Global Mobility,6037421.5,67.0,90110.76865671642
Spark Plug,2250986.0,51.0,44136.98039215686
Purchase Order Amendments,3699932.5,89.0,41572.27528089887
Lean Functional Testing,1171620.0,9.0,130180.0
Export Declarations,2452128.0,55.0,44584.145454545454
Wilderness First Aid,603352.0,22.0,27425.090909090908
Family Child Care,1583463.0,40.0,39586.575
Zoology,11428946.0,290.0,39410.15862068965
2D Animation,2929981.5,44.0,66590.48863636363
Stage Lighting,3117317.0,70.0,44533.1
Smart Grid,682844.5,8.0,85355.5625
Standard Template Library (STL),7487788.0,82.0,91314.48780487805
Event Processing Language,905497.0,5.0,181099.4
Bridge Loans,1162520.0,19.0,61185.26315789474
Crane Rigging,212720.0,3.0,70906.66666666667
LEED Green Associate,166172.0,3.0,55390.666666666664
Special Effects,2255275.0,42.0,53697.02380952381
Pseudometric Space,0.0,0.0,
Audiovisual Equipment,7770881.0,148.0,52505.9527027027
Tax Depreciation,2961489.5,32.0,92546.546875
Farm Equipment,8887289.0,257.0,34580.89105058366
Reflective Practice,2243512.0,49.0,45785.95918367347
Diagramming Software,1127067.5,10.0,112706.75
Community Counseling,2302335.0,41.0,56154.51219512195
Wound Ostomy And Continence Nursing,76294.0,1.0,76294.0
Woodworking Machines,8004020.0,195.0,41046.256410256414
Engine Control Unit,2187074.5,26.0,84118.25
Outboard Motors,797649.0,22.0,36256.77272727273
Health And Human Services,6985765.0,86.0,81229.82558139534
Modern Portfolio Theory,993825.0,10.0,99382.5
Shift Scheduling,6443353.0,162.0,39773.78395061728
General Packet Radio Service (GPRS),701140.0,14.0,50081.42857142857
eSports,1949979.5,38.0,51315.25
Intraosseous Infusion,162261.0,2.0,81130.5
Kismet (Software),1961460.0,21.0,93402.85714285714
Interest Rate Risk,2831795.5,33.0,85811.98484848485
FitNesse,1294049.5,12.0,107837.45833333333
Business Science,2757445.0,30.0,91914.83333333333
Technology Strategy Development,2448849.0,19.0,128886.78947368421
Trauma Surgery,3017041.0,46.0,65587.84782608696
National Historic Preservation Act (NHPA),2007756.5,26.0,77221.40384615384
Higher Education Policy,1447305.0,22.0,65786.59090909091
Specimen Delivery,1230508.0,26.0,47327.230769230766
Multi-Age Classroom,1633450.0,35.0,46670.0
Digital Brand Engagement,4343571.5,95.0,45721.8052631579
Unreal Engine,7008385.0,60.0,116806.41666666667
Public Key Cryptography Standards (PKCS),1125793.0,5.0,225158.6
Cyber-Physical Systems,75430.0,1.0,75430.0
Logical Observation Identifiers Names And Codes (LOINC),2432442.5,21.0,115830.59523809524
Root Canals,13616792.5,148.0,92005.35472972973
Search Technologies,2408750.0,18.0,133819.44444444444
Merchant Bank,559511.0,9.0,62167.88888888889
Database Conversion,363260.0,7.0,51894.28571428572
Code Structure,1501350.0,16.0,93834.375
Embosser,2314145.0,40.0,57853.625
Revenue Analysis,4537269.0,59.0,76902.86440677966
Critical Appraisal,373313.0,4.0,93328.25
Colposcopy,15106650.0,115.0,131362.1739130435
Accounts Payable Automation,1214780.0,12.0,101231.66666666667
Interest Expense,2320116.0,27.0,85930.22222222222
System Deployment,3289430.0,37.0,88903.51351351352
Extubation,1406443.5,21.0,66973.5
Public Finance,21770908.0,207.0,105173.46859903382
Intercompany Accounting,3604187.0,46.0,78351.89130434782
Zigbee,3138856.5,32.0,98089.265625
Cogeneration,524849.0,6.0,87474.83333333333
Snail Mail,1499960.0,30.0,49998.666666666664
Dev Testing,1154400.0,8.0,144300.0
Dispatch Coordination,2830132.0,71.0,39861.01408450704
French Horn,1629097.5,95.0,17148.394736842107
Consumer Debt,650240.0,14.0,46445.71428571428
Political Campaigns,2238500.0,42.0,53297.619047619046
Certified Manufacturing Engineer,0.0,0.0,
Rally Software,3592509.0,29.0,123879.62068965517
Conversion Tracking,2855086.0,43.0,66397.3488372093
STAAD,4209076.0,40.0,105226.9
Computer And Network Surveillance,829360.0,14.0,59240.0
Home Automation,15815180.0,232.0,68168.87931034483
Personality Psychology,722000.0,14.0,51571.42857142857
Numerical Controls,10116370.0,220.0,45983.5
Financial Policy Development,1075039.0,11.0,97730.81818181818
UXPin,3712474.5,34.0,109190.42647058824
Financial Accounting Standards Board,6817365.5,73.0,93388.56849315068
Color Palette,1856575.5,20.0,92828.775
Lectora,2954040.5,41.0,72049.76829268293
Web Access Management,985652.5,9.0,109516.94444444444
Nutrient Cycling,31200.0,1.0,31200.0
Hazard And Operability Study,1973880.0,17.0,116110.58823529411
Project Integration,3519730.0,55.0,63995.09090909091
HIV Research,148578.5,3.0,49526.166666666664
Xdebug,1087200.0,10.0,108720.0
Office Management Software,4985860.0,126.0,39570.31746031746
Legal Transcription,2632661.0,35.0,75218.88571428572
Dam Construction,0.0,0.0,
Medical Coding Compliance,3938258.5,60.0,65637.64166666666
Nightwatch.js,476847.0,5.0,95369.4
Android Jetpack,4346099.5,35.0,124174.27142857143
ISO 10012 Standard,43680.0,1.0,43680.0
Vacuum Tube,799175.5,21.0,38055.97619047619
Electric Bass Guitars,6316683.5,184.0,34329.801630434784
Oracle Transportation Management,5310510.5,82.0,64762.32317073171
Service Innovation,6715957.5,67.0,100238.17164179105
Digital Pathology,486400.0,5.0,97280.0
Finance Software,4214625.0,49.0,86012.75510204081
Dehumidifiers,1077680.0,18.0,59871.11111111111
Dividend Reinvestment Plan,33280.0,1.0,33280.0
Preventive Dental Care,2619783.5,29.0,90337.36206896552
Ship Construction,677352.0,13.0,52104.0
IEC 62304,5207695.5,46.0,113210.77173913043
Small Business Management,1989233.0,36.0,55256.47222222222
Hand Surgery,1349701.5,20.0,67485.075
SSL Security,431700.0,4.0,107925.0
Design Codes,833172.0,12.0,69431.0
Cornet,1511357.5,91.0,16608.324175824175
Reading To Children,1475155.0,47.0,31386.27659574468
GPRS Core Networks,0.0,0.0,
Erosions,8059783.5,117.0,68887.03846153847
Pruning Shears,1162182.5,29.0,40075.25862068965
ATLAS.ti (Qualitative Data Analysis Software),112500.0,3.0,37500.0
Hydraulic Analysis,2484403.0,34.0,73070.67647058824
Natural Sciences,8110386.0,174.0,46611.41379310345
Certified Sales Associate,631154.5,22.0,28688.840909090908
Microsoft Windows NT,4715058.0,41.0,115001.41463414633
File Carving,790400.0,4.0,197600.0
Aprimo (Marketing Software),2790509.0,21.0,132881.38095238095
Sterility,903667.0,18.0,50203.72222222222
Bridge Construction,8477683.0,198.0,42816.580808080806
Ship Self Defense System (SSDS),0.0,0.0,
Swahili Language,878780.0,20.0,43939.0
Mobile Network Operator,1929906.5,32.0,60309.578125
Wastewater Collection System Operation,35838.0,1.0,35838.0
Occupational Hygiene And Safety Technologist (OHST),2627569.5,35.0,75073.41428571429
Library Research,1165972.5,19.0,61366.97368421053
Heavy Lift,1525002.0,42.0,36309.57142857143
Large Goods Vehicle,7586375.5,169.0,44889.79585798817
Global Association Of Risk Professionals,358850.0,3.0,119616.66666666667
OpenFlow,340000.0,2.0,170000.0
Adobe LiveCycle,565200.0,5.0,113040.0
