,0,1,2,3,4
Ground Freight Transportation,Motor Vehicle Operators,Material Moving Workers,"Sales Representatives, Wholesale and Manufacturing","Material Recording, Scheduling, Dispatching, and Distributing Workers",Unclassified Occupation
Ground Passenger Transportation,Motor Vehicle Operators,Law Enforcement Workers,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Other Management Occupations,Unclassified Occupation
Groundskeeping and Yard Care,Grounds Maintenance Workers,"Other Installation, Maintenance, and Repair Occupations",Building Cleaning and Pest Control Workers,Material Moving Workers,"Sales Representatives, Wholesale and Manufacturing"
HVAC,"Other Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Engineers,"Supervisors of Installation, Maintenance, and Repair Workers",Other Management Occupations
Hand Tools,"Other Installation, Maintenance, and Repair Occupations",Assemblers and Fabricators,Material Moving Workers,Other Production Occupations,Construction Trades Workers
Hardware Description Languages (HDL),Engineers,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Art and Design Workers
Hazardous Materials Management,Motor Vehicle Operators,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Material Moving Workers
Health Care Administration,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,Other Healthcare Support Occupations,Secretaries and Administrative Assistants
Health Care Procedure and Regulation,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Business Operations Specialists
Health Information Management and Medical Records,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,Secretaries and Administrative Assistants
Heavy Equipment Operation,Material Moving Workers,Motor Vehicle Operators,Other Production Occupations,"Other Installation, Maintenance, and Repair Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers"
Hematology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Healthcare Support Occupations,Other Management Occupations
Hepatology,Healthcare Diagnosing or Treating Practitioners,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Health Technologists and Technicians,Other Management Occupations,Postsecondary Teachers
Higher Education,Other Management Occupations,Business Operations Specialists,Unclassified Occupation,Postsecondary Teachers,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Home Health Care and Assisted Living,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Hospitality Services,Information and Record Clerks,Other Food Preparation and Serving Related Workers,Other Management Occupations,Secretaries and Administrative Assistants,Food and Beverage Serving Workers
Hotels and Accommodations,Information and Record Clerks,Other Management Occupations,Building Cleaning and Pest Control Workers,Top Executives,Food and Beverage Serving Workers
Human Resources Management and Planning,Business Operations Specialists,Operations Specialties Managers,Other Management Occupations,Computer Occupations,Unclassified Occupation
Human Resources Software,Business Operations Specialists,Operations Specialties Managers,Computer Occupations,Unclassified Occupation,Other Management Occupations
IT Automation,Computer Occupations,Engineers,Unclassified Occupation,Business Operations Specialists,Other Management Occupations
IT Management,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,Operations Specialties Managers
Identity and Access Management,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,Media and Communication Workers
Image Analysis,Computer Occupations,Engineers,Mathematical Science Occupations,Unclassified Occupation,Other Management Occupations
Immunology,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Life Scientists,Other Healthcare Support Occupations
Industrial Design,Computer Occupations,Art and Design Workers,Engineers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations
Industrial Engineering,Engineers,Computer Occupations,Other Management Occupations,Unclassified Occupation,Business Operations Specialists
Industry Specific Marketing,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,"Sales Representatives, Wholesale and Manufacturing",Other Management Occupations,Media and Communication Workers
Infectious Diseases,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations,Other Healthcare Support Occupations
Initiative and Leadership,Other Management Occupations,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Operations Specialties Managers
Injury Treatment,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,Other Healthcare Support Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
Instructional and Curriculum Design,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Other Management Occupations,Other Educational Instruction and Library Occupations,Postsecondary Teachers,Business Operations Specialists
Insulation,Construction Trades Workers,Other Production Occupations,Other Management Occupations,Entertainment Attendants and Related Workers,"Other Installation, Maintenance, and Repair Occupations"
Insurance,"Sales Representatives, Services",Financial Specialists,Business Operations Specialists,Information and Record Clerks,"Sales Representatives, Wholesale and Manufacturing"
Insurance and Warranty Claims Processing,Business Operations Specialists,Unclassified Occupation,Other Office and Administrative Support Workers,Information and Record Clerks,Other Management Occupations
Integrated Development Environments (IDEs),Computer Occupations,Business Operations Specialists,Unclassified Occupation,Mathematical Science Occupations,Other Management Occupations
Intelligence Collection and Analysis,Computer Occupations,Other Management Occupations,Unclassified Occupation,Business Operations Specialists,Law Enforcement Workers
Interior Design,Art and Design Workers,Other Management Occupations,Unclassified Occupation,Business Operations Specialists,Building Cleaning and Pest Control Workers
Internal Controls,Financial Specialists,Operations Specialties Managers,Computer Occupations,Other Management Occupations,Business Operations Specialists
Internet of Things (IoT),Computer Occupations,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Art and Design Workers,Unclassified Occupation
Inventory and Warehousing,Material Moving Workers,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Retail Sales Workers,Unclassified Occupation,Supervisors of Sales Workers
Investment Management,Financial Specialists,Unclassified Occupation,Computer Occupations,Operations Specialties Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Java,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Mathematical Science Occupations,Engineers
JavaScript and jQuery,Computer Occupations,Unclassified Occupation,Other Management Occupations,Business Operations Specialists,Engineers
Journalism,Media and Communication Workers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Unclassified Occupation,"Entertainers and Performers, Sports and Related Workers"
Labor Compliance,Business Operations Specialists,Retail Sales Workers,Operations Specialties Managers,Other Management Occupations,"Lawyers, Judges, and Related Workers"
Laboratory Research,Health Technologists and Technicians,Other Healthcare Support Occupations,Life Scientists,Other Management Occupations,Mathematical Science Occupations
Landscaping and Horticulture,Grounds Maintenance Workers,"Other Installation, Maintenance, and Repair Occupations",Building Cleaning and Pest Control Workers,Other Management Occupations,"Forest, Conservation, and Logging Workers"
Language Competency,Information and Record Clerks,Other Management Occupations,Business Operations Specialists,Healthcare Diagnosing or Treating Practitioners,"Sales Representatives, Wholesale and Manufacturing"
"Language Interpretation, Translation, and Studies",Media and Communication Workers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Computer Occupations,Other Management Occupations,Business Operations Specialists
Law Enforcement and Criminal Justice,Other Protective Service Workers,Law Enforcement Workers,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Healthcare Diagnosing or Treating Practitioners
Lean Manufacturing,Engineers,Operations Specialties Managers,Computer Occupations,Other Management Occupations,Business Operations Specialists
Legal Proceedings,Legal Support Workers,"Lawyers, Judges, and Related Workers",Business Operations Specialists,Other Management Occupations,Healthcare Diagnosing or Treating Practitioners
Legal Support,Legal Support Workers,"Lawyers, Judges, and Related Workers",Secretaries and Administrative Assistants,Computer Occupations,Business Operations Specialists
Library and Archiving,"Librarians, Curators, and Archivists",Computer Occupations,Unclassified Occupation,Business Operations Specialists,Motor Vehicle Operators
Literature and Literary Studies,Mathematical Science Occupations,Other Management Occupations,Unclassified Occupation,"Life, Physical, and Social Science Technicians",Media and Communication Workers
Litigation and Civil Justice,"Lawyers, Judges, and Related Workers",Legal Support Workers,Business Operations Specialists,Other Management Occupations,Computer Occupations
Livestock Farming,Animal Care and Service Workers,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,Life Scientists
Log Management,Computer Occupations,Unclassified Occupation,Engineers,Business Operations Specialists,Motor Vehicle Operators
Logistics,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Business Operations Specialists,Operations Specialties Managers,Unclassified Occupation,"Sales Representatives, Wholesale and Manufacturing"
Machinery,Other Production Occupations,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Metal Workers and Plastic Workers,Material Moving Workers
Mainframe Technologies,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Financial Clerks,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
Malware Protection,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Other Management Occupations,Other Protective Service Workers
Manufacturing Design,Engineers,Computer Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Other Management Occupations,Other Production Occupations
Manufacturing Processes,Other Production Occupations,Engineers,Metal Workers and Plastic Workers,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations"
Manufacturing Standards,Other Production Occupations,Engineers,Material Moving Workers,Operations Specialties Managers,Computer Occupations
Marine and Naval Engineering,Engineers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Computer Occupations
Market Analysis,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,"Sales Representatives, Wholesale and Manufacturing",Computer Occupations,Other Management Occupations
Marketing Software,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Unclassified Occupation,Mathematical Science Occupations
Marketing Strategy and Techniques,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,"Sales Representatives, Wholesale and Manufacturing",Other Management Occupations,Computer Occupations
Material Handling,Material Moving Workers,Motor Vehicle Operators,Retail Sales Workers,Unclassified Occupation,Other Production Occupations
Materials Science and Engineering,Engineers,Other Management Occupations,Computer Occupations,Other Production Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Mathematical Software,Computer Occupations,Mathematical Science Occupations,Engineers,Unclassified Occupation,Business Operations Specialists
Mathematics and Mathematical Modeling,Material Moving Workers,Retail Sales Workers,Other Production Occupations,Information and Record Clerks,Other Management Occupations
Mechanical Engineering,Engineers,"Other Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Drafters, Engineering Technicians, and Mapping Technicians",Unclassified Occupation
Media Production,Computer Occupations,Art and Design Workers,Media and Communication Workers,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Medical Billing and Coding,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Financial Clerks,Business Operations Specialists
Medical Equipment and Technology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Computer Occupations
Medical Imaging,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Healthcare Support Occupations,Occupational Therapy and Physical Therapist Assistants and Aides,Other Management Occupations
Medical Science and Research,Health Technologists and Technicians,Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,Mathematical Science Occupations,Life Scientists
Medical Support,Other Healthcare Support Occupations,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Healthcare Diagnosing or Treating Practitioners,Occupational Therapy and Physical Therapist Assistants and Aides
Mental Health Diseases and Disorders,"Counselors, Social Workers, and Other Community and Social Service Specialists","Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations
Mental Health Therapies,"Counselors, Social Workers, and Other Community and Social Service Specialists",Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Social Scientists and Related Workers,Health Technologists and Technicians
Mental and Behavioral Health Specialties,Healthcare Diagnosing or Treating Practitioners,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Management Occupations,Social Scientists and Related Workers,Health Technologists and Technicians
Merchandising,Retail Sales Workers,Supervisors of Sales Workers,Material Moving Workers,Art and Design Workers,Unclassified Occupation
Mergers and Acquisitions,Financial Specialists,Operations Specialties Managers,Other Management Occupations,Computer Occupations,Business Operations Specialists
Metal Fabrication,Metal Workers and Plastic Workers,Other Production Occupations,Engineers,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians"
Micro Manufacturing,Engineers,Computer Occupations,Other Management Occupations,Assemblers and Fabricators,Unclassified Occupation
Microsoft Development Tools,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Other Management Occupations,Mathematical Science Occupations
Microsoft Windows,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Other Management Occupations,"Other Installation, Maintenance, and Repair Occupations"
Middleware,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations,Retail Sales Workers
Military Operations,Other Protective Service Workers,Other Food Preparation and Serving Related Workers,Computer Occupations,Other Management Occupations,Business Operations Specialists
Military Technology and Weapons,Military-only occupations,Computer Occupations,Other Protective Service Workers,Business Operations Specialists,Law Enforcement Workers
Mining Engineering,Engineers,Construction Trades Workers,"Sales Representatives, Services","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Other Management Occupations
Mobile Development,Computer Occupations,Art and Design Workers,Business Operations Specialists,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Mobility Assistance,Occupational Therapy and Physical Therapist Assistants and Aides,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Motor Vehicle Operators
"Molecular, Cellular, and Microbiology",Life Scientists,Health Technologists and Technicians,Mathematical Science Occupations,Other Management Occupations,"Life, Physical, and Social Science Technicians"
Mortgage Lending,Financial Specialists,"Sales Representatives, Services",Information and Record Clerks,Operations Specialties Managers,Unclassified Occupation
Music,Other Teachers and Instructors,"Entertainers and Performers, Sports and Related Workers",Postsecondary Teachers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Unclassified Occupation
Natural Gas,Engineers,Unclassified Occupation,Other Management Occupations,Business Operations Specialists,"Other Installation, Maintenance, and Repair Occupations"
Natural Language Processing (NLP),Mathematical Science Occupations,Computer Occupations,Unclassified Occupation,Other Management Occupations,Business Operations Specialists
Nephrology,Healthcare Diagnosing or Treating Practitioners,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Health Technologists and Technicians,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Network Protocols,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Engineers,Other Management Occupations
Network Security,Computer Occupations,Unclassified Occupation,Other Management Occupations,Business Operations Specialists,Engineers
Networking Hardware,Computer Occupations,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Engineers,Unclassified Occupation
Networking Software,Computer Occupations,Unclassified Occupation,Engineers,Business Operations Specialists,Other Management Occupations
Neurology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Postsecondary Teachers
Neuroscience,Postsecondary Teachers,Computer Occupations,Other Management Occupations,Mathematical Science Occupations,Life Scientists
Nuclear Energy,Health Technologists and Technicians,Engineers,Other Management Occupations,Unclassified Occupation,Physical Scientists
Nuclear Medicine,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Computer Occupations,Engineers
Nursing and Patient Care,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Nutrition and Diet,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Health Technologists and Technicians,Food and Beverage Serving Workers,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
Obstetrics and Gynecology (OBGYN),Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Occupational Health and Safety,Food and Beverage Serving Workers,Other Management Occupations,Material Moving Workers,Retail Sales Workers,Cooks and Food Preparation Workers
Office Management,Secretaries and Administrative Assistants,Information and Record Clerks,Supervisors of Office and Administrative Support Workers,Other Office and Administrative Support Workers,Other Management Occupations
Office and Productivity Equipment and Technology,Business Operations Specialists,Computer Occupations,Other Management Occupations,Unclassified Occupation,Secretaries and Administrative Assistants
Oil and Gas,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Other Installation, Maintenance, and Repair Occupations",Motor Vehicle Operators,Other Production Occupations,Material Moving Workers
Oncology,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Healthcare Support Occupations
Online Advertising,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Media and Communication Workers,Unclassified Occupation
Operating Systems,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Engineers,Other Management Occupations
Optical Engineering,Computer Occupations,Engineers,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations,"Drafters, Engineering Technicians, and Mapping Technicians"
Oral and Dental Care,Healthcare Diagnosing or Treating Practitioners,Other Healthcare Support Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Secretaries and Administrative Assistants,Health Technologists and Technicians
Orthopedics,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
Other Programming Languages,Computer Occupations,Mathematical Science Occupations,Unclassified Occupation,Business Operations Specialists,Engineers
Pathology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,Other Healthcare Support Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
Patient Education and Support,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Health Technologists and Technicians,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Healthcare Support Occupations
Payment Processing and Collection,Financial Clerks,Health Technologists and Technicians,Financial Specialists,Other Management Occupations,Unclassified Occupation
Payroll,Financial Clerks,Business Operations Specialists,Operations Specialties Managers,Financial Specialists,Supervisors of Sales Workers
Pediatrics,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
People Management,Computer Occupations,Other Management Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Operations Specialties Managers
Performance Management,Other Management Occupations,Operations Specialties Managers,Supervisors of Sales Workers,Computer Occupations,Business Operations Specialists
Personal Attributes,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations,Information and Record Clerks
Pharmacology and Drug Discovery,Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Life Scientists,Mathematical Science Occupations
Pharmacy,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Unclassified Occupation,Other Management Occupations,Computer Occupations
Photo/Video Production and Technology,Art and Design Workers,Media and Communication Equipment Workers,Business Operations Specialists,Unclassified Occupation,Computer Occupations
Physical Abilities,Material Moving Workers,Retail Sales Workers,Unclassified Occupation,Other Management Occupations,Healthcare Diagnosing or Treating Practitioners
Physical Therapy,Healthcare Diagnosing or Treating Practitioners,Occupational Therapy and Physical Therapist Assistants and Aides,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Health Technologists and Technicians
Physics,Computer Occupations,Engineers,Mathematical Science Occupations,Other Management Occupations,Unclassified Occupation
Plant Operations and Management,Other Production Occupations,Material Moving Workers,Operations Specialties Managers,Supervisors of Production Workers,Engineers
Plumbing,"Other Installation, Maintenance, and Repair Occupations",Construction Trades Workers,Retail Sales Workers,"Supervisors of Installation, Maintenance, and Repair Workers",Unclassified Occupation
Poison Control,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Physical Scientists,Other Construction and Related Workers,Other Healthcare Support Occupations
"Policy Analysis, Research, and Development",Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,Computer Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Business Operations Specialists
Power Generation,Engineers,Plant and System Operators,"Other Installation, Maintenance, and Repair Occupations",Computer Occupations,Assemblers and Fabricators
Power Tools,"Other Installation, Maintenance, and Repair Occupations",Assemblers and Fabricators,Construction Trades Workers,Material Moving Workers,"Drafters, Engineering Technicians, and Mapping Technicians"
Presentation Design,Secretaries and Administrative Assistants,Art and Design Workers,Computer Occupations,Business Operations Specialists,Unclassified Occupation
Pricing Analysis,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Financial Specialists,Operations Specialties Managers,Other Management Occupations
Process Engineering,Engineers,Computer Occupations,Business Operations Specialists,Other Management Occupations,Other Production Occupations
Process Improvement and Optimization,Computer Occupations,Business Operations Specialists,Other Management Occupations,Operations Specialties Managers,Unclassified Occupation
Procurement,Business Operations Specialists,Operations Specialties Managers,Other Management Occupations,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Product Development,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Engineers,Business Operations Specialists,Other Management Occupations
Product Inspection,Other Production Occupations,Material Moving Workers,Engineers,"Life, Physical, and Social Science Technicians",Assemblers and Fabricators
Product Management,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Computer Occupations,Business Operations Specialists,Other Management Occupations,Operations Specialties Managers
Production and Assembly,Assemblers and Fabricators,Other Production Occupations,Material Moving Workers,Metal Workers and Plastic Workers,"Other Installation, Maintenance, and Repair Occupations"
Program Management,Other Management Occupations,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Operations Specialties Managers
Project Management,Computer Occupations,Business Operations Specialists,Other Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Operations Specialties Managers
Promotions and Campaigns,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,"Sales Representatives, Wholesale and Manufacturing",Other Management Occupations,Unclassified Occupation
Property Law,"Lawyers, Judges, and Related Workers",Legal Support Workers,Other Management Occupations,Unclassified Occupation,Computer Occupations
Property Management,Other Management Occupations,Other Sales and Related Workers,Financial Specialists,Information and Record Clerks,Operations Specialties Managers
Prospecting and Qualification,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,"Sales Representatives, Services",Computer Occupations
Public Health and Disease Prevention,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Health Technologists and Technicians,Unclassified Occupation
Public Relations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Media and Communication Workers,Other Management Occupations,Unclassified Occupation
Pulmonology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Healthcare Support Occupations,Other Management Occupations
Quality Assurance and Control,Computer Occupations,Other Management Occupations,Operations Specialties Managers,Engineers,Business Operations Specialists
Query Languages,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Unclassified Occupation,Financial Specialists
Radio Frequency (RF),Engineers,Material Moving Workers,Computer Occupations,Unclassified Occupation,Art and Design Workers
Rail Transportation,Other Management Occupations,Engineers,Other Production Occupations,Top Executives,Unclassified Occupation
Real Estate Development,Other Sales and Related Workers,Other Management Occupations,Financial Specialists,Unclassified Occupation,Business Operations Specialists
Real Estate Sales,Other Sales and Related Workers,Financial Specialists,Other Management Occupations,Unclassified Occupation,Legal Support Workers
Recruitment,Business Operations Specialists,Operations Specialties Managers,Computer Occupations,Other Management Occupations,Unclassified Occupation
Regulation and Legal Compliance,Motor Vehicle Operators,Other Management Occupations,"Sales Representatives, Wholesale and Manufacturing",Business Operations Specialists,"Other Installation, Maintenance, and Repair Occupations"
Rehabilitation,Healthcare Diagnosing or Treating Practitioners,"Counselors, Social Workers, and Other Community and Social Service Specialists",Occupational Therapy and Physical Therapist Assistants and Aides,Other Management Occupations,Health Technologists and Technicians
Religious Studies and Services,Religious Workers,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Management Occupations,Postsecondary Teachers,Unclassified Occupation
Retail Sales,Retail Sales Workers,Supervisors of Sales Workers,"Sales Representatives, Wholesale and Manufacturing",Unclassified Occupation,Information and Record Clerks
Risk Management,Financial Specialists,Computer Occupations,Other Management Occupations,Business Operations Specialists,Operations Specialties Managers
Road and Bridge Construction,Engineers,Other Management Occupations,Other Protective Service Workers,Law Enforcement Workers,Business Operations Specialists
Roads and Drainage,Engineers,Other Management Occupations,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Unclassified Occupation
Robotics,"Drafters, Engineering Technicians, and Mapping Technicians",Engineers,Computer Occupations,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations
Roofing,"Sales Representatives, Wholesale and Manufacturing",Construction Trades Workers,"Other Installation, Maintenance, and Repair Occupations",Business Operations Specialists,Other Management Occupations
Safety and Security,Computer Occupations,Other Protective Service Workers,Other Management Occupations,Operations Specialties Managers,Business Operations Specialists
Safety and Surveillance Technology,Other Protective Service Workers,Computer Occupations,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations,Operations Specialties Managers
Sales Analysis,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Business Operations Specialists,Supervisors of Sales Workers,Other Management Occupations
Sales Management,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Supervisors of Sales Workers,Business Operations Specialists,Other Management Occupations
Scheduling,Secretaries and Administrative Assistants,Other Management Occupations,Business Operations Specialists,Health Technologists and Technicians,Information and Record Clerks
Science Software,Computer Occupations,Mathematical Science Occupations,Physical Scientists,Life Scientists,Engineers
Scripting,Computer Occupations,Unclassified Occupation,Engineers,Mathematical Science Occupations,Business Operations Specialists
Scripting Languages,Computer Occupations,Mathematical Science Occupations,Unclassified Occupation,Business Operations Specialists,Engineers
Sea and Waterway Transportation,Water Transportation Workers,Unclassified Occupation,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Sales Representatives, Wholesale and Manufacturing","Entertainers and Performers, Sports and Related Workers"
Search Engines,Computer Occupations,Business Operations Specialists,Engineers,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Servers,Computer Occupations,Unclassified Occupation,Engineers,Business Operations Specialists,Other Management Occupations
