,0,1,2,3,4
Health Care Procedure and Regulation,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Insurance Carriers and Related Activities,Nursing and Residential Care Facilities
Health Information Management and Medical Records,Unclassified Industry,Ambulatory Health Care Services,Hospitals,"Professional, Scientific, and Technical Services",Nursing and Residential Care Facilities
Heavy Equipment Operation,Administrative and Support Services,Unclassified Industry,Truck Transportation,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods"
Hematology,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Educational Services
Hepatology,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Hospitals,Nursing and Residential Care Facilities
Higher Education,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Administrative and Support Services
Home Health Care and Assisted Living,Ambulatory Health Care Services,Unclassified Industry,Nursing and Residential Care Facilities,Hospitals,Administrative and Support Services
Hospitality Services,Unclassified Industry,Accommodation,Food Services and Drinking Places,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Hotels and Accommodations,Accommodation,Unclassified Industry,Real Estate,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Human Resources Management and Planning,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services
Human Resources Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services
IT Automation,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
IT Management,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Identity and Access Management,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Image Analysis,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,Administrative and Support Services,Educational Services
Immunology,Educational Services,Unclassified Industry,Chemical Manufacturing,Ambulatory Health Care Services,Hospitals
Industrial Design,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Computer and Electronic Product Manufacturing
Industrial Engineering,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Miscellaneous Manufacturing,Computer and Electronic Product Manufacturing
Industry Specific Marketing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Chemical Manufacturing,Publishing Industries (except Internet)
Infectious Diseases,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Ambulatory Health Care Services,Administrative and Support Services
Initiative and Leadership,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Injury Treatment,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Administrative and Support Services
Instructional and Curriculum Design,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services
Insulation,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors
Insurance,Insurance Carriers and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities
Insurance and Warranty Claims Processing,Insurance Carriers and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services
Integrated Development Environments (IDEs),"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Intelligence Collection and Analysis,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing
Interior Design,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Furniture and Home Furnishings Stores,Hospitals
Internal Controls,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Internet of Things (IoT),"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Telecommunications
Inventory and Warehousing,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services"
Investment Management,Credit Intermediation and Related Activities,Unclassified Industry,"Professional, Scientific, and Technical Services","Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Administrative and Support Services
Java,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
JavaScript and jQuery,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Journalism,Unclassified Industry,"Professional, Scientific, and Technical Services",Broadcasting (except Internet),Educational Services,Administrative and Support Services
Labor Compliance,General Merchandise Stores,Unclassified Industry,Food Services and Drinking Places,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Laboratory Research,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Hospitals,"Professional, Scientific, and Technical Services"
Landscaping and Horticulture,Unclassified Industry,Administrative and Support Services,Real Estate,"Professional, Scientific, and Technical Services",Specialty Trade Contractors
Language Competency,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services
"Language Interpretation, Translation, and Studies","Professional, Scientific, and Technical Services",Unclassified Industry,Educational Services,Credit Intermediation and Related Activities,Administrative and Support Services
Law Enforcement and Criminal Justice,Unclassified Industry,Educational Services,Administrative and Support Services,"Executive, Legislative, and Other General Government Support","Professional, Scientific, and Technical Services"
Lean Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing
Legal Proceedings,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services
Legal Support,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Library and Archiving,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Motor Vehicle and Parts Dealers,Administrative and Support Services
Literature and Literary Studies,Educational Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Hospitals
Litigation and Civil Justice,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Livestock Farming,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Personal and Laundry Services
Log Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Logistics,Unclassified Industry,Administrative and Support Services,Support Activities for Transportation,"Professional, Scientific, and Technical Services",Truck Transportation
Machinery,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,Machinery Manufacturing
Mainframe Technologies,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Credit Intermediation and Related Activities
Malware Protection,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,Publishing Industries (except Internet)
Manufacturing Design,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Specialty Trade Contractors,Computer and Electronic Product Manufacturing
Manufacturing Processes,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,Computer and Electronic Product Manufacturing
Manufacturing Standards,Administrative and Support Services,Unclassified Industry,Food Manufacturing,"Professional, Scientific, and Technical Services",Chemical Manufacturing
Marine and Naval Engineering,Transportation Equipment Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services",National Security and International Affairs,Clothing and Clothing Accessories Stores
Market Analysis,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Marketing Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Publishing Industries (except Internet),"Data Processing, Hosting, and Related Services"
Marketing Strategy and Techniques,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services
Material Handling,Unclassified Industry,Administrative and Support Services,Truck Transportation,General Merchandise Stores,"Merchant Wholesalers, Nondurable Goods"
Materials Science and Engineering,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Educational Services
Mathematical Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,Administrative and Support Services,Educational Services
Mathematics and Mathematical Modeling,Unclassified Industry,Administrative and Support Services,General Merchandise Stores,"Professional, Scientific, and Technical Services",Food Services and Drinking Places
Mechanical Engineering,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Machinery Manufacturing
Media Production,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Broadcasting (except Internet),Administrative and Support Services
Medical Billing and Coding,Unclassified Industry,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Hospitals
Medical Equipment and Technology,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Miscellaneous Manufacturing,"Professional, Scientific, and Technical Services"
Medical Imaging,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Medical Science and Research,Unclassified Industry,Educational Services,Hospitals,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services"
Medical Support,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,Educational Services
Mental Health Diseases and Disorders,Unclassified Industry,Ambulatory Health Care Services,Social Assistance,Nursing and Residential Care Facilities,Hospitals
Mental Health Therapies,Unclassified Industry,Ambulatory Health Care Services,Social Assistance,Hospitals,Educational Services
Mental and Behavioral Health Specialties,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Hospitals,Administrative and Support Services
Merchandising,General Merchandise Stores,Unclassified Industry,Clothing and Clothing Accessories Stores,Food and Beverage Stores,Building Material and Garden Equipment and Supplies Dealers
Mergers and Acquisitions,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Insurance Carriers and Related Activities,Real Estate
Metal Fabrication,Unclassified Industry,Administrative and Support Services,Fabricated Metal Product Manufacturing,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods"
Micro Manufacturing,Computer and Electronic Product Manufacturing,National Security and International Affairs,Administrative and Support Services,Educational Services,Unclassified Industry
Microsoft Development Tools,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Publishing Industries (except Internet)
Microsoft Windows,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Educational Services,Insurance Carriers and Related Activities
Middleware,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Military Operations,Administrative and Support Services,Unclassified Industry,National Security and International Affairs,"Professional, Scientific, and Technical Services",Hospitals
Military Technology and Weapons,Unclassified Industry,National Security and International Affairs,"Professional, Scientific, and Technical Services",Administrative and Support Services,Couriers and Messengers
Mining Engineering,Unclassified Industry,Machinery Manufacturing,Mining (except Oil and Gas),Administrative and Support Services,Nonmetallic Mineral Product Manufacturing
Mobile Development,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Mobility Assistance,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Social Assistance,Nursing and Residential Care Facilities
"Molecular, Cellular, and Microbiology",Educational Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services
Mortgage Lending,Credit Intermediation and Related Activities,Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,"Professional, Scientific, and Technical Services"
Music,Unclassified Industry,Educational Services,National Security and International Affairs,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Natural Gas,Utilities,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Durable Goods"
Natural Language Processing (NLP),"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Computer and Electronic Product Manufacturing
Nephrology,Ambulatory Health Care Services,Unclassified Industry,Administrative and Support Services,Hospitals,Educational Services
Network Protocols,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Telecommunications,Computer and Electronic Product Manufacturing
Network Security,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing
Networking Hardware,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,Telecommunications
Networking Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,"Merchant Wholesalers, Durable Goods"
Neurology,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Chemical Manufacturing,Educational Services
Neuroscience,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Chemical Manufacturing,Ambulatory Health Care Services
Nuclear Energy,Hospitals,Unclassified Industry,Gasoline Stations,Utilities,"Professional, Scientific, and Technical Services"
Nuclear Medicine,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Insurance Carriers and Related Activities,Administrative and Support Services
Nursing and Patient Care,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,Nursing and Residential Care Facilities
Nutrition and Diet,Unclassified Industry,Hospitals,Administrative and Support Services,Ambulatory Health Care Services,Food Services and Drinking Places
Obstetrics and Gynecology (OBGYN),Administrative and Support Services,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Educational Services
Occupational Health and Safety,Unclassified Industry,Food Services and Drinking Places,Administrative and Support Services,Food and Beverage Stores,Accommodation
Office Management,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",Accommodation
Office and Productivity Equipment and Technology,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Oil and Gas,Unclassified Industry,Motor Vehicle and Parts Dealers,Administrative and Support Services,Food Services and Drinking Places,"Professional, Scientific, and Technical Services"
Oncology,Unclassified Industry,Hospitals,Administrative and Support Services,Ambulatory Health Care Services,Educational Services
Online Advertising,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Other Information Services,Educational Services
Operating Systems,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing
Optical Engineering,Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,"Professional, Scientific, and Technical Services",National Security and International Affairs
Oral and Dental Care,Ambulatory Health Care Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services
Orthopedics,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Educational Services
Other Programming Languages,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Pathology,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Educational Services,Administrative and Support Services
Patient Education and Support,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Insurance Carriers and Related Activities
Payment Processing and Collection,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Credit Intermediation and Related Activities
Payroll,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",General Merchandise Stores,Educational Services
Pediatrics,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Hospitals,Educational Services
People Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Performance Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Ambulatory Health Care Services
Personal Attributes,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services
Pharmacology and Drug Discovery,Chemical Manufacturing,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals
Pharmacy,Unclassified Industry,Administrative and Support Services,Chemical Manufacturing,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services"
Photo/Video Production and Technology,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Ambulatory Health Care Services
Physical Abilities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Food Services and Drinking Places
Physical Therapy,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Administrative and Support Services,Social Assistance
Physics,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Gasoline Stations
Plant Operations and Management,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Manufacturing,Chemical Manufacturing
Plumbing,Unclassified Industry,Administrative and Support Services,Real Estate,Building Material and Garden Equipment and Supplies Dealers,Specialty Trade Contractors
Poison Control,Administrative and Support Services,Unclassified Industry,"Executive, Legislative, and Other General Government Support",Hospitals,Administration of Human Resource Programs
"Policy Analysis, Research, and Development",Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Educational Services,Administrative and Support Services
Power Generation,Transportation Equipment Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Utilities
Power Tools,Administrative and Support Services,Unclassified Industry,Specialty Trade Contractors,"Professional, Scientific, and Technical Services",Repair and Maintenance
Presentation Design,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Accommodation
Pricing Analysis,Unclassified Industry,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Administrative and Support Services,Miscellaneous Manufacturing
Process Engineering,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Chemical Manufacturing,Computer and Electronic Product Manufacturing
Process Improvement and Optimization,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Procurement,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods"
Product Development,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Insurance Carriers and Related Activities
Product Inspection,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Manufacturing,Fabricated Metal Product Manufacturing
Product Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Production and Assembly,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Printing and Related Support Activities,"Merchant Wholesalers, Durable Goods"
Program Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Social Assistance
Project Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Promotions and Campaigns,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services
Property Law,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Chemical Manufacturing
Property Management,Real Estate,Unclassified Industry,Administrative and Support Services,Accommodation,"Professional, Scientific, and Technical Services"
Prospecting and Qualification,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Public Health and Disease Prevention,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Hospitals,Administrative and Support Services
Public Relations,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities
Pulmonology,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Educational Services
Quality Assurance and Control,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Hospitals
Query Languages,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Radio Frequency (RF),Computer and Electronic Product Manufacturing,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",General Merchandise Stores
Rail Transportation,Transit and Ground Passenger Transportation,Unclassified Industry,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Administrative and Support Services
Real Estate Development,Unclassified Industry,"Professional, Scientific, and Technical Services",Real Estate,Administrative and Support Services,Food and Beverage Stores
Real Estate Sales,Unclassified Industry,Real Estate,Administrative and Support Services,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services"
Recruitment,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Regulation and Legal Compliance,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Food Services and Drinking Places
Rehabilitation,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Administrative and Support Services
Religious Studies and Services,Unclassified Industry,Educational Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Ambulatory Health Care Services,Hospitals
Retail Sales,Unclassified Industry,Clothing and Clothing Accessories Stores,General Merchandise Stores,Food and Beverage Stores,Telecommunications
Risk Management,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities
Road and Bridge Construction,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,"Executive, Legislative, and Other General Government Support"
Roads and Drainage,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Real Estate,"Executive, Legislative, and Other General Government Support"
Robotics,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Real Estate
Roofing,Unclassified Industry,Specialty Trade Contractors,Administrative and Support Services,Construction of Buildings,Real Estate
Safety and Security,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Accommodation,Credit Intermediation and Related Activities
Safety and Surveillance Technology,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services
Sales Analysis,Unclassified Industry,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods",Administrative and Support Services,Miscellaneous Manufacturing
Sales Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods",Insurance Carriers and Related Activities
Scheduling,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Hospitals
Science Software,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Chemical Manufacturing,Educational Services
Scripting,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Scripting Languages,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Sea and Waterway Transportation,Unclassified Industry,Support Activities for Transportation,Scenic and Sightseeing Transportation,Administrative and Support Services,Water Transportation
Search Engines,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities
Servers,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Educational Services
Signal Processing,Computer and Electronic Product Manufacturing,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods"
Simulation and Simulation Software,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Unclassified Industry,Administrative and Support Services,Educational Services
Social Media,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate
Social Skills,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Hospitals
Social Studies,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Administrative and Support Services
Software Development,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Software Development Tools,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Software Quality Assurance,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Solar Energy,Specialty Trade Contractors,Unclassified Industry,"Professional, Scientific, and Technical Services",Utilities,Computer and Electronic Product Manufacturing
Solution Sales Engineering,Unclassified Industry,"Professional, Scientific, and Technical Services",Publishing Industries (except Internet),Administrative and Support Services,Computer and Electronic Product Manufacturing
Special Education,Educational Services,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Social Assistance
Specialized Accounting,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Real Estate
Specialized Sales,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods",Insurance Carriers and Related Activities
Speech Language Pathology,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Hospitals
Sports and Recreation,Unclassified Industry,"Amusement, Gambling, and Recreation Industries",Educational Services,Social Assistance,Accommodation
Statistical Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Insurance Carriers and Related Activities,Educational Services,Credit Intermediation and Related Activities
Statistics,Unclassified Industry,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Administrative and Support Services,Educational Services
Streaming Media Systems,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Telecommunications
Structured Finance,Credit Intermediation and Related Activities,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
Student Support and Services,Educational Services,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Social Assistance
Supplier Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,"Merchant Wholesalers, Durable Goods"
Supply Chain Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods"
Surgery,Unclassified Industry,Administrative and Support Services,Hospitals,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services"
Surveying and Cartography,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,National Security and International Affairs,"Executive, Legislative, and Other General Government Support"
System Design and Implementation,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Systems Administration,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Educational Services,Insurance Carriers and Related Activities
Tax,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Data Processing, Hosting, and Related Services",Credit Intermediation and Related Activities
