,July 2022 actual,July 2024 predicted,Percent change
Restocking Shelves,0.0006123477204919,0.0035750505228032,483.82686881423433
Appellate Law,5.4730379706516684e-06,3.192750731934317e-05,483.3598723515086
Aviation Flight,2.6779570884032497e-06,1.5610142670511518e-05,482.912352782291
Acute Coronary Syndrome,6.811052571066987e-06,3.962990204186604e-05,481.84695578788944
IPTV,9.546132505417826e-05,0.0005547713136418,481.14771958900036
Lauterbach,2.049432059238352e-05,0.0001190318471282,480.80406516348165
AllegroGraph,6.614334055618612e-07,3.838035117176722e-06,480.26024765357374
Certified Credit Professional,6.614334055618612e-07,3.838035117176722e-06,480.26024765357374
Transportation Research,4.202270656504801e-06,2.434133922950568e-05,479.2425385982006
Frame Analysis,1.7556501711487692e-06,1.0156447704757564e-05,478.50065301516906
Motivational Interviewing Certification,3.017922614983957e-06,1.7458508833054594e-05,478.4942511903143
Promodel,1.7556501711487692e-06,1.015401438049492e-05,478.36205340673723
Spill Containment,5.515724523741005e-05,0.0003177139838966,476.01495964688337
Distributed Database,0.0001427741728436,0.000821797274958,475.5923908298362
Forest Management,7.915370432461584e-06,4.554126197432601e-05,475.35225120428424
IAT Level III Certification,1.7736924620027845e-05,0.0001019943530809,475.03967156590346
Tower Crane,2.487096518139834e-05,0.0001428089152325,474.19932918128404
Epic Stork,9.099791846257078e-06,5.2235827874476645e-05,474.03321699014754
Cerner EHR,2.202614380718002e-05,0.0001262704451028,473.2753141366429
Anomaly Detection,0.0001750342003429,0.0010030257892092,473.0456032273845
Retail Marketing Strategy,7.962126587817491e-06,4.560008632416648e-05,472.7124006535794
Allscripts EHR,4.2191792203476085e-06,2.411547758924935e-05,471.56798348240176
Multiprotocol BGP,1.126694285380112e-05,6.433087610613008e-05,470.9701108888364
LeanKit,5.97138281972968e-06,3.408578170856608e-05,470.81889970184693
Dynamic UI,4.846108595499639e-06,2.7637620695353567e-05,470.30543477749075
Liturgical Worship,2.444967410999588e-05,0.0001393392007844,469.9020778662782
Ventricular Septal Defect,1.385208210876003e-05,7.872909343620312e-05,468.3556653653893
HTML Editor,6.169735681622226e-06,3.5063822913475263e-05,468.31969346628216
Workamajig,6.709360591461524e-05,0.0003806199215102,467.2968628256247
Applied Mechanics,0.0001328590839174,0.0007512015281097,465.4122442818667
Behavioral Medicine,0.0001531294112988,0.00086543805962,465.1677573103697
Conflict Transformation,8.935182739775496e-06,5.048550585619272e-05,465.019287534585
Idioms,1.3549547394653038e-05,7.648403901835973e-05,464.4767075285636
Jazz Improvisation,4.2191792203476085e-06,2.3813546141763416e-05,464.411817988653
Debt Settlements,3.110821993023624e-05,0.0001755749271277,464.400430244633
Systemic Approach,1.8568845903186787e-05,0.0001047930462113,464.34873097479584
GridView,1.1430791685283837e-05,6.448998809755508e-05,464.177791644829
Aquatic Ecology,2.53911053110546e-05,0.0001430142513445,463.2454735329519
Development Studies,1.2557848622179117e-05,7.065814913113156e-05,462.66125876321087
Amazon ElastiCache,0.0001558311853455,0.0008757053210515,461.9576845994825
OrCAD Capture,6.276896501508966e-07,3.521796562569836e-06,461.0729062878758
Mysite,6.614334055618612e-07,3.7105672351011954e-06,460.98878645979744
Userspace,1.5515658982794134e-05,8.697209824884356e-05,460.54401779060765
Scientific Modeling,1.0354410871560004e-05,5.796744362168519e-05,459.8333342257238
Parasoft Virtualize,7.374860329935576e-06,4.117136489478185e-05,458.26636780715154
Body Substance Isolation,2.600287044250507e-06,1.4507428541989362e-05,457.91642596023115
Full Scope Polygraph (FSP Clearance),2.775543764176666e-05,0.0001546065239112,457.03147580186794
HP WebInspect,4.6778124319553085e-06,2.6012506230591267e-05,456.0827119294763
Microstrategy Architecture,6.276896501508966e-07,3.4896376124429623e-06,455.9495224437831
Mac Pro,1.3228668111237224e-06,7.347649463945512e-06,455.43380498781863
Constituent Relationship Management,0.0001328435915792,0.000737522159077,455.18083357246235
Low-Noise Amplifier,4.875502195041312e-06,2.7066335935574166e-05,455.149702590685
Programmable Logic Devices,2.8799222434886387e-05,0.0001594366918882,453.61457153462544
Dublin Core,5.4730379706516684e-06,3.0295110145325573e-05,453.53371030456
Ebean,4.846868870498504e-06,2.676575492977554e-05,452.2277504285496
User Directory,5.658832685313272e-06,3.119760301081718e-05,451.30810090544475
Garden Tools,2.1033663082335777e-05,0.0001159038794081,451.03991613061885
Adobe Contribute,4.2191792203476085e-06,2.3238253472803148e-05,450.7766382791533
Cyber Hygiene,1.131852256107516e-05,6.233116889625294e-05,450.70057562647145
Foreign Policies,1.66848733686315e-05,9.177090544606753e-05,450.0245846552362
Mobile Virtual Network Operator,5.4745585206494e-06,3.010102635202438e-05,449.83477185396407
Protein Precipitation,3.867680829159121e-05,0.0002125084672219,449.44675274071625
Hybridization Probe,1.687571638183809e-05,9.26482525849262e-05,449.00337555231545
Federal Employers Liability Act,6.311362219175937e-07,3.461471567441187e-06,448.4507856202784
Sitemaps (XML),0.0001833658914539,0.00100400040507,447.5393472086469
Rapid Visualization,9.099791846257078e-06,4.978494924366731e-05,447.09986870902804
Antibody Conjugations,1.7506830493843396e-06,9.569947688889607e-06,446.6407921328225
Natural Resource Science,2.697719062035289e-06,1.4745170422845038e-05,446.57916868929163
Oracle Smart View,3.6503161807779096e-05,0.0001994758657189,446.46188395765273
Magnetoresistive Random-Access Memory,5.296320309070308e-06,2.8920275641686912e-05,446.0446867641101
Integrated Circuit Packaging,4.880612625909469e-06,2.663984961252434e-05,445.83003517022996
Protein Crystallization,7.36173714167533e-06,4.018113737349348e-05,445.81054172696736
Systems Neuroscience,6.311362219175937e-07,3.444340779094544e-06,445.7365081391676
High Availability Design,1.369724793729181e-05,7.463643448199572e-05,444.90095253946816
Ethernet Local Area Network,2.2346828069978217e-05,0.0001215347697122,443.8569148678221
NetCracker Technology Corp.,6.834166066819619e-06,3.716006330141332e-05,443.7395424414425
Vertical Farming,1.8823086754538235e-06,1.0234502890937356e-05,443.7207523080572
Certified Professional Wetcleaner,1.3513538552914667e-05,7.33380340136459e-05,442.70044612281055
Laboratory Cleaning,0.000173394343734,0.0009408891299434,442.6296554325871
Thermal Desktop (Thermal Modeling Software),1.3228668111237224e-06,7.177428597591499e-06,442.56623094917325
Fuel Pumps,0.0001008011856363,0.0005469094075845,442.5624749671098
Stochastic Calculus,1.998041875063539e-05,0.0001083740711524,442.4014006160589
OTN,2.574098721594875e-05,0.0001395452814988,442.11316888553415
3D Reconstruction,4.665184087152714e-06,2.5279211469162368e-05,441.86953819845814
Biomedical Technology,9.43304140300086e-05,0.000510601956832,441.290910341564
MockK,4.2191792203476085e-06,2.283404538337325e-05,441.19638419844136
Adobe Director,4.2191792203476085e-06,2.2823019981436127e-05,440.93506792431987
Brake Lathes,3.917022640765743e-05,0.0002118562041291,440.8603001786173
WiMAX,0.0001139077990735,0.0006157476537171,440.56672038741044
Professional Risk Manager (PRM),5.671372761077394e-05,0.0003058973028941,439.3708292169963
Allograft,1.004262101214246e-05,5.416280380927446e-05,439.32936176508707
Xml Dtd,4.968242990802788e-07,2.6770589307661198e-06,438.8341382903153
Grubbing,1.1578732713218664e-05,6.238164084224255e-05,438.7605223067772
Database Conversion,9.214508908483753e-06,4.960257361028155e-05,438.30946502870825
Application Remediation,1.986646382921122e-05,0.0001069005435269,438.0954781178306
Fecal Incontinence,2.572864004135657e-05,0.0001384186370172,437.9943782287131
Professional Community Association Manager (PCAM),5.477244817417232e-06,2.9419910475392746e-05,437.12973321622604
Aircraft Assembly,4.846108595499639e-06,2.601355709289025e-05,436.79269831154545
Soft Soldering,3.076182714037927e-05,0.000165125710177,436.78771882912315
Computer Sales,3.5090855201218724e-05,0.0001880802719484,435.98087270859065
Activecollab,1.388834032690492e-06,7.442160625183309e-06,435.856729458604
Corticon,8.920097336102131e-07,4.777040438103338e-06,435.536806170188
WSO2 ESB,4.4600486680510653e-07,2.386165228793879e-06,435.00878721051623
Voice Acting,9.06949466261281e-06,4.850989051327649e-05,434.8687255228109
IBM RAD,5.162008386232993e-06,2.76099473131028e-05,434.86831572645565
PVCS Version Manager,3.109230895198534e-05,0.0001662237364818,434.6136780593971
Multicultural Studies,9.697184312763706e-06,5.1678440162647937e-05,432.9221194097273
Defensive Tactics,2.0094845268503823e-05,0.000107088998625,432.91775673858376
Airline Reservations Systems,3.145451382006361e-05,0.0001675961781853,432.8207555330165
Survey Data Collection,0.0002293991717638,0.0012216033408541,432.5229953802621
PeopleCode,0.000125123218284,0.0006660897813659,432.34706595704273
Protege,7.90290388852541e-05,0.0004205586133715,432.1570644204954
Ranorex,5.66810078980904e-05,0.0003013391945924,431.6405014077956
Multithreading,0.0028624567870161,0.0152025820190654,431.10258600315746
Music Ensembles,5.1273674986338e-05,0.0002722771884223,431.02725422909305
Business Operating System,1.479070442787985e-05,7.85382720324905e-05,430.9975087085723
NICE (WFM Software),2.0306908412274434e-05,0.0001077850109798,430.7800123560401
Ansible Tower,0.0001257229068093,0.0006671096799358,430.61903901704284
Microbiological Culture,8.438358440695217e-06,4.476460340502807e-05,430.48947517024436
Federal Insecticide Fungicide And Rodenticide Act,1.818252995376397e-05,9.641595612631498e-05,430.267000090138
Facebook Insights,5.634448894327639e-05,0.0002985862708122,429.9298590014639
Laser Tracker,1.2257497556876396e-05,6.488853164781481e-05,429.3782955837724
CISCO Certified Network Professional - Security,6.108968603190164e-05,0.0003228284459858,428.4500002458938
Dynamic Systems Development Methods,1.222423133661196e-05,6.454155889510189e-05,427.98050951308386
Sales Process Engineering,3.162861351664515e-05,0.0001665658913059,426.6303918704548
SAP Quality Management,5.54204603147133e-06,2.9183908893742144e-05,426.59087867579933
Offshore Construction,4.880612625909469e-06,2.5697110094478237e-05,426.51402731823555
WHO Drug Dictionary (WHO-DD),4.850315442265202e-06,2.552655593340004e-05,426.28651140839173
Health Literacy,0.0001255044861294,0.0006597689464341,425.69351644837025
Hazard Management,1.6201821483752465e-05,8.515813857215658e-05,425.6084240747561
User Journey Mapping,0.0001038478370471,0.0005451730059213,424.97290403269335
Lumped Element Model,1.258065597069624e-06,6.6018285477499845e-06,424.76027983973444
AFNetworking,1.1251698149059774e-05,5.88200963345739e-05,422.76639095129906
Paint Sprayers,3.371020244201178e-05,0.0001760067893572,422.1172719444997
Water Aerobics,2.8589664601996663e-05,0.0001491132518967,421.5634879686072
Google Gson (Java Library),1.5164413709871522e-05,7.89681779607785e-05,420.74666038274114
Doctor Of Public Health,2.2619042057265844e-05,0.0001177731862373,420.6815829738823
Visier (Analytics Software),2.091230697399474e-05,0.0001087935556446,420.2369866695673
Enhanced Versatile Disc,2.4000078998464225e-06,1.246884170430715e-05,419.5333609153969
Computer Network Operations,4.28016691685994e-05,0.000222312721624,419.4019904884815
Sequoia Ultrasound System,2.6487306018829765e-06,1.3748634484512575e-05,419.0650372196668
Restricted Stock,0.0001281498868169,0.0006647095534871,418.69694932843294
Broadcast Operations,0.00010481195785,0.000543641926054,418.68311326845424
Ringcentral,9.872713194416118e-05,0.0005120161343141,418.6174501693109
Carbon Footprint Reduction,0.0001698727626454,0.0008793487203692,417.65139194491815
Consumer Debt,8.630053603843775e-06,4.46493474138996e-05,417.3704528789143
Appway,5.049939031626074e-06,2.606920518267156e-05,416.2281171992152
Discrete Element Modeling Software,8.438358440695217e-06,4.352442120169753e-05,415.7925147122768
Web Administration,1.2114267889474336e-05,6.248240281589098e-05,415.775310451734
Zuken (Software),1.961938466983387e-05,0.0001011839392926,415.7345196874453
WebdriverIO,4.007312862979256e-05,0.0002065615499162,415.4614999604269
Interrupt Handling,2.8379872685246716e-05,0.0001460302799232,414.5557964363733
NonStop SQL,6.269293751520304e-07,3.22103057170572e-06,413.77885601940727
BusyBox,1.3336308906136396e-05,6.843196465182631e-05,413.1252217796104
FlightCheck,1.2589809664924842e-05,6.457380712923773e-05,412.9053484354104
GDNA,1.9401261769060807e-05,9.938966813048572e-05,412.28455815684333
Certificate Signing Request,7.07806081709778e-06,3.625021236811319e-05,412.1489247527669
Arduino,2.1810810578811943e-05,0.000111680474363,412.0418333809735
Catalysis,8.447396904627385e-06,4.319200158910051e-05,411.30545985640185
Software Bug Management,2.7050370357624906e-05,0.0001382206136008,410.97493961608046
Carving,5.5477019514669805e-05,0.0002832085454565,410.49704532452597
Certified Wound And Ostomy Care Nurse,2.282800672817811e-05,0.0001165135382781,410.39733633107653
Conjunctiva,1.227811672095705e-05,6.266038337915214e-05,410.34197510274123
Middle Management,0.0003254945642747,0.0016609657274585,410.2898511253582
YAML,0.0005958168137649,0.0030389234616616,410.0432534723184
Check Point Certified Managed Security Expert,1.6247848200781514e-06,8.285982334017304e-06,409.9741351361685
Looper,4.2191792203476085e-06,2.151275651358611e-05,409.88013047271596
Legal Land Description,0.000141106081193,0.0007192504729687,409.7232287139589
Kinetic Monte Carlo,4.2191792203476085e-06,2.150122574099156e-05,409.60683626091907
Automotive Lighting,2.327988230085024e-05,0.0001184508389096,408.81201794252144
Financial Business Solution,1.8815484004549568e-06,9.57012238953128e-06,408.6301467034934
Customer Equity,1.085006755806654e-05,5.517966464172306e-05,408.56517110531206
Service Assurance,0.0001556832258919,0.0007888405172085,406.6958965484427
Stressed VaR,7.545348207532658e-06,3.82047077496309e-05,406.33458786554667
Java Keywords,1.1279605209978726e-06,5.69878585196317e-06,405.22919427371676
Soundtrack Pro,1.1237536742323092e-06,5.677162946408896e-06,405.1963857014521
Integumentary System,1.4888729607642103e-05,7.516169655358008e-05,404.8227655031159
Spark Dataframes,6.6494843038382974e-06,3.3530191233195524e-05,404.2525059250206
Art Endorsement,2.2627560470752625e-05,0.0001140849147146,404.1856582907427
HR Scorecard,8.438358440695217e-06,4.25439721855146e-05,404.17356034960636
Target Platform,1.2493615457285456e-05,6.291998100278993e-05,403.61707720161286
Copper Plating,5.969862269731947e-06,3.0060679623062556e-05,403.5405887917128
Reverse Engineering,6.476845959333927e-05,0.0003260096674443,403.34633476110423
Photography Portfolio,5.927456530987901e-06,2.978997260093554e-05,402.57597749047653
Tinnitus,2.549778254309781e-05,0.0001280423856445,402.1706708341223
Cavity Prevention,4.5561605136085074e-05,0.0002287194387945,402.00039728923593
Leisure And Recreation,0.0003265578130064,0.0016384790772779,401.7424211025656
Chartered Advisor in Philanthropy,1.15825770464214e-06,5.811376190293358e-06,401.7343003203993
Meter Data Management,4.70473056392288e-05,0.0002358262623546,401.253491885334
Py.test,3.8487605594310985e-05,0.0001928361747706,401.03448056302034
High Assurance Internet Protocols Encryptor,7.189728974823088e-06,3.598473030738189e-05,400.5019025528336
Intercultural Communication,2.6640155785376145e-05,0.0001332731602497,400.271700073387
Order Of Draw,1.74569602987582e-05,8.730881413941569e-05,400.13755341831416
DoDAF,1.161762457628101e-05,5.809801753022229e-05,400.08516929387997
Laser Marksmanship Training Systems,4.247812544890415e-06,2.1232538443643072e-05,399.84640845752824
System Deployment,0.0003368513204126,0.0016836594582044,399.8227277666989
Pricing Feedback,1.3644306988535536e-05,6.808833598303203e-05,399.02377629177084
Unix Commands,0.0001988223407106,0.0009918865114838,398.8808138656616
Fault Management,0.0001243602084069,0.0006202875184452,398.7829518712707
Story Point Estimation,4.114252416429732e-05,0.0002045732715895,397.23072598210854
Well Logging,6.16897540662336e-06,3.0662119323221496e-05,397.0374706033179
Solar Photovoltaic Design,2.131144349405857e-05,0.0001058979330948,396.9064302205683
Source Language,1.5355256723078117e-05,7.620358488644982e-05,396.2703409049487
Electrical Industry,0.0002222827661489,0.0011024902282642,395.9854726324927
Perimeter Security,7.626933949823112e-05,0.0003782520637969,395.9424931242162
Odroid,1.1586386131750925e-05,5.745897007747015e-05,395.91796289277477
Open Enterprise Server,4.2191792203476085e-06,2.0902132425702142e-05,395.4075504756601
Laplace Transform,4.2191792203476085e-06,2.0902132425702142e-05,395.4075504756601
Java Media Framework,4.2191792203476085e-06,2.0886264905408732e-05,395.03146973898777
Short Term Loans,4.2191792203476085e-06,2.086087477978405e-05,394.42969094982817
Xero (Accounting Software),8.585260544627763e-05,0.0004244331919376,394.37427056676756
Threaded Insert,5.919803112455641e-06,2.9222832111086733e-05,393.64533846742376
Specimen Analysis,5.4432479602546e-05,0.0002686707161561,393.58529708342246
Battle Rhythm,6.112587886100389e-06,3.0111497637350568e-05,392.6145553804155
Glass Cutters,0.0006864440028263,0.0033796869521121,392.3470724774191
Restoration,8.55300286885148e-05,0.0004210890786368,392.3289341692282
Bmc Software,5.212827818508166e-06,2.5607026200272448e-05,391.2309995997681
Heartsaver First Aid,6.269293751520304e-07,3.077573852706458e-06,390.89641906796066
IBM Workload Manager For Z/OS (WLM/SRM),1.395010728852228e-05,6.84289133264271e-05,390.5260720304877
Ethernet Over Twisted Pair,1.5731847796549756e-05,7.713828477372776e-05,390.3320053137395
Mysql5,4.846108595499639e-06,2.375391886269391e-05,390.16480738283695
Personality Psychology,4.00427047129367e-06,1.9626264959238416e-05,390.13334888184283
Bayes Estimator,5.34713974134548e-06,2.6188673818668367e-05,389.7697663700596
Real Time 3D,4.121914315584227e-06,2.017412338574323e-05,389.43577767903724
State Server,7.936326795297029e-06,3.8763956762046815e-05,388.4370031866363
Environmental Auditing,0.0002437045385585,0.0011899110284643,388.2596916342073
Multi-Processing Modules,1.6232878942395598e-05,7.921586489100791e-05,387.9964002202895
Linux Packages,8.438358440695217e-06,4.117097171908718e-05,387.9026176529092
Tax Assessment,1.3421985306245387e-05,6.545102072663797e-05,387.6403842893714
Geophysical Data,9.73092806817467e-06,4.73890649073845e-05,386.99429874907867
Vert.x,5.507542001061499e-06,2.680424388295913e-05,386.68251422854325
Describing Archives,4.665184087152714e-06,2.2703620876819524e-05,386.66077163690545
Proof Of Stake,3.169911181168849e-06,1.5410964290849684e-05,386.16391469893364
Financial Data Management,7.719825269095926e-05,0.0003749159304953,385.6533890684894
Cyber Engineering,0.0004641074434686,0.0022517844030792,385.18601344767023
Oil Fields,1.289123055712758e-06,6.2503530555694585e-06,384.8530966745939
Shaft Alignment,2.3372036774745462e-05,0.0001131707528344,384.21433666699556
Color Photography,1.2885187207027291e-05,6.23843508621116e-05,384.15556452364604
Historic Site,1.1461849143926973e-05,5.548292733626872e-05,384.0661104466393
Autonomous Cruise Control Systems,1.014663575133551e-05,4.910602116269792e-05,383.96357537752885
Environmental Problem Solving,6.311362219175937e-07,3.053831647198508e-06,383.8625230413794
Financial Quotes,4.4600486680510653e-07,2.157591607697417e-06,383.7596556183394
OBS Studio,7.444019765107441e-06,3.6003268004849366e-05,383.6535788581389
Screen Capture,4.4963205768590267e-05,0.0002174660220961,383.6532857895426
Certified Energy Manager,5.515327156213983e-05,0.0002666406779991,383.4539646459277
Human Interface Guidelines,3.894443137697091e-05,0.0001882317810399,383.334264706218
Bank Account Management,3.4850215193403326e-05,0.0001684042043861,383.22285372279896
Graphic Novel,1.4811819838488228e-05,7.151223209997447e-05,382.80517100370963
Cello,3.592455113179443e-05,0.0001732409452909,382.2355181428446
Website Builder,3.701289719151431e-05,0.0001778307155785,380.4560817229676
Sports Tourism,6.601758766648407e-06,3.1705119571886506e-05,380.2526219536892
Objective Function,7.726272715879581e-06,3.708485791882856e-05,379.9838069734342
JavaScript Build,0.0001234315948038,0.0005915256808822,379.23360450981477
Terrazzo,5.0810588833349545e-06,2.434869393603605e-05,379.2051124598418
Airport Security Clearance,1.2605364791791318e-05,6.038985435808085e-05,379.08057684619376
American Traffic Safety Services Association (ATSSA) Certificate,1.709399833038407e-05,8.189196147552423e-05,379.06850049215063
Commercial Art,2.7063334237369652e-05,0.0001296132597865,378.92568834895127
Sprint Planning,0.002570265163703,0.0123025349653098,378.64847327991043
Certified Nurse Practitioner,0.0008163493836324,0.0039052624300712,378.3812554245438
International Ethics,4.2191792203476085e-06,2.017140119369881e-05,378.088275947589
Overhead Lines,3.357115581745762e-05,0.0001604964453766,378.07840233233475
Pipeline Transport,5.511748847827062e-06,2.633824506905295e-05,377.8564081241922
Upper Respiratory Infection,4.880612625909469e-06,2.329040642986721e-05,377.2025197457092
Puppet (Configuration Management Tool),0.0014849575813214,0.0070781412329649,376.65612284132493
Cultural Competency Training,1.8134782478460057e-05,8.6432611196382e-05,376.6123403963848
Quicken (Accounting Software),1.698646682185268e-05,8.09084548114804e-05,376.31126390211784
Developmental Stage Theories,1.7170859840080328e-05,8.170452012516013e-05,375.8324328898483
Buffer Overflow,4.472451836463e-05,0.0002128133781195,375.83157046986025
MyBatis,4.338971011142791e-05,0.0002062892320604,375.43353373561234
Toy Industry,1.15825770464214e-06,5.494858117491545e-06,374.4072148597759
PHPMyAdmin,5.296320309070308e-06,2.512365869788621e-05,374.3606359090525
Printed Wiring Assemblies,9.95729754945746e-06,4.719586328991378e-05,373.9826549874
Database Cloning,6.112587886100389e-06,2.8971620888149512e-05,373.96653312795746
Common Criteria (IT Framework),1.984305978910035e-05,9.37038139260422e-05,372.2246212124656
Trade Show Sales,3.460589116743627e-05,0.0001632976512601,371.87818533556833
Ignition Systems,0.0001668184742815,0.0007871446244967,371.8569857966826
Cultural Literacy,1.20274238767916e-05,5.6745669127661055e-05,371.80235525879175
Autofac,2.244898698497395e-05,0.0001058422867789,371.47912219711606
SAP Financial Management,4.908375858194968e-05,0.0002314066342324,371.452555627023
Radio Base Station,4.968242990802788e-07,2.341122720625162e-06,371.2174354110797
Inquiry,4.846108595499639e-06,2.2813672518084106e-05,370.76271751875566
Phacoemulsification,3.960260590097231e-05,0.000186434060032,370.7621021156659
Video Logging,1.7556501711487692e-06,8.251045149949608e-06,369.9709136559208
Acetaminophen,5.212827818508166e-06,2.4487714838307835e-05,369.75875073725064
Memory Hierarchy,1.4904728972408369e-06,7.000426054630698e-06,369.6781851981264
Remote Operation,1.4398558227541737e-05,6.75987283691655e-05,369.48261972411814
Ellipse,1.835008298404869e-05,8.615000288723638e-05,369.4801814363707
Microsoft Windows 8,0.0001224850306763,0.0005749654145484,369.41688414799233
Accredited Financial Counselor,1.7851870797941704e-06,8.3760699153428e-06,369.1984392083181
Behavior Evaluation,6.548253037605404e-06,3.0711320954413055e-05,369.0002169745675
Sewage,0.0001252396211434,0.000586910607196,368.6301362441718
Ornithology,1.2391456803032296e-05,5.7998307763143376e-05,368.05076017333727
Diathermy,1.1279605209978726e-06,5.273992513977048e-06,367.56889233244675
Certified Professional Ergonomist,2.698171497348666e-05,0.0001261464459916,367.5256784661638
Embedded Wizard,4.1591046427618894e-06,1.9443066017058204e-05,367.48201084324893
System Center Configuration Manager,6.627571995977283e-05,0.0003097805143863,367.41176795110874
MODO (3D Modeling Software),2.614986846472012e-06,1.220490257066819e-05,366.7290234034765
App Data,3.1976690119137746e-05,0.0001490530658935,366.1303760275462
Independent Films,1.179827118329123e-05,5.495945679499077e-05,365.82635660065705
Atomic force microscope (AFM),1.5685235211040145e-05,7.30387695044912e-05,365.65300756907
Private Investment In Public Equity,8.932602669286964e-05,0.0004155731238232,365.2318469868454
Make (Software),4.273344385797481e-05,0.0001987641745945,365.12557063057096
Sports Journalism,1.4323838508627976e-05,6.658209957853457e-05,364.8341960741095
Data Binding,8.58328460066822e-05,0.0003988870781718,364.72544804205376
Federal Enterprise Architecture,3.689130955559181e-06,1.7142223638130885e-05,364.6683418028067
CA Wily Introscope,1.3228668111237224e-06,6.145774127873255e-06,364.57996195797415
Access Control List,0.0002572267675258,0.0011944909696556,364.37273272339036
Primary Group Exercise Instruction,1.677027800809706e-05,7.782448062763419e-05,364.06195884205863
Marine Science,4.092497899960494e-05,0.0001895723488484,363.2191719639734
Dataspaces,3.657650147542263e-05,0.0001692311370373,362.6772113538904
StatView,4.4600486680510653e-07,2.0633170297588416e-06,362.62208852991324
Action Research,0.0001511921686819,0.0006992642258481,362.500294786639
Integrative Thinking,1.6063302714149586e-05,7.426055113914009e-05,362.2993942193882
Federal Housing Administration,1.3264111900585347e-05,6.130871026282813e-05,362.21496563311234
Google Cloud Messaging,5.292873737303611e-06,2.4450632701013375e-05,361.9538253612195
Warranty Deed,4.850315442265202e-06,2.2390834453797304e-05,361.63666508544236
Xendesktop,0.0002561594559019,0.0011823878853576,361.58275953334817
Patient Monitoring Systems,2.0378843255157972e-05,9.398392962705932e-05,361.1838289853453
Sindhi Language,8.920097336102131e-07,4.111382914728524e-06,360.91233759172184
OpenGL,4.881865770505823e-05,0.0002249308869895,360.74779103603726
Soil Contamination,2.1956103840375447e-05,0.0001011281066263,360.59222237933596
Emacs,1.90409411068706e-05,8.764580934314863e-05,360.3018771562879
Phonetics,2.4410218696490813e-05,0.0001123001891092,360.054006502384
JSON Web Signature (JWS),2.011915289271729e-05,9.246312118899932e-05,359.5776058865233
International Business Strategy,9.06949466261281e-06,4.1675920722235626e-05,359.5175615906841
Body Work,4.007037213545308e-05,0.0001840873867413,359.4102248888897
Atomic Emission Spectroscopy,3.269622158146583e-06,1.5017300563579685e-05,359.2977364727791
Traffic Violations (Traffic Law),1.1580253263216394e-05,5.316658900315933e-05,359.1142161980005
Access Method,2.875196998615515e-06,1.319576086310029e-05,358.9515386060296
Naval Architecture,5.991664583064534e-06,2.742966150515788e-05,357.79701324883797
Report Generators,6.783346634544447e-06,3.1045299187461506e-05,357.6693608632966
Energy-Efficient Buildings,5.4730379706516684e-06,2.5034685196505415e-05,357.4184453086219
Sight Reading,1.362976042646988e-05,6.234203292907123e-05,357.39639566957436
Capitalism,6.735310414486856e-06,3.079195189106084e-05,357.17197866383395
Oral Disease Prevention,1.258065597069624e-06,5.747126136050225e-06,356.8224542056345
Certified Senior Lighting Technician,5.902134273613968e-06,2.6960768502445254e-05,356.7969356945307
Carbon Monoxide Detectors,1.5419154353029614e-05,7.042164697984453e-05,356.7153643287047
Raising Capital,1.9606515839735227e-05,8.952339573316037e-05,356.6002265008719
Sleep Apnea,9.686618096421635e-05,0.0004416849943255,355.9744070932912
XML Markup Languages,1.0077145316853684e-05,4.589412017050208e-05,355.4277895918175
Certified Associate In Materials Handling,4.2191792203476085e-06,1.919196440479305e-05,354.8743583168261
Network Communications,0.0006149481265721,0.0027918124792301,353.99154149675616
Oracle Advanced Security,4.968242990802788e-07,2.254437767660561e-06,353.76962677428946
Business Process Improvement,0.0044249291464862,0.0200738825122157,353.6543263784508
Spill Prevention Control And Countermeasure (SPCC),7.252745905363882e-05,0.0003287148163327,353.22808853622433
Ecosystem Ecology,2.231191946599277e-06,1.0092767595610962e-05,352.34869241053366
Discrete Mathematics,0.000159845683323,0.0007224452300024,351.96417881523627
Object-Oriented Programming (OOP),0.0066256436186609,0.0299180435255881,351.5492418174281
Twitter Feed,6.311362219175937e-07,2.8481955980931457e-06,351.2806426225097
Chartio,7.574885116178059e-06,3.41333720852052e-05,350.61240615128094
Soil Ecology,9.123458049035452e-06,4.109280302780583e-05,350.4081983711235
Dell PowerEdge,7.594647089810097e-06,3.4188091755138025e-05,350.16037415364474
Economy,0.0001251855425267,0.000563403466029,350.054738476558
Structural Repairs,9.734675278956426e-05,0.0004379761347532,349.9134508369054
Percutaneous Vertebroplasty,1.5398279427717293e-05,6.918148362740234e-05,349.28060925348524
Microsoft Power BI Report Server,2.537265239329639e-05,0.0001139414548325,349.0719104424575
Conceptual Art,5.06505390359474e-06,2.2745042668249305e-05,349.05825488069985
Proof Of Concept (POC) Development,0.0002494844007661,0.0011200526381005,348.9469620790387
Geospatial Intelligence,1.1140284349496069e-05,4.998847440732426e-05,348.7181192065846
Fashion Accessory,6.620892666547581e-05,0.0002970083743252,348.59264344497063
Glass Transition,4.4600486680510653e-07,1.9988363689873584e-06,348.16469903248884
ADP Vantage,5.399329327715562e-05,0.0002414936096239,347.26593798284784
LEED Green Associate,3.725796761961468e-05,0.0001666187543915,347.20301464802003
Dynamic-Link Libraries,1.3087394239003988e-05,5.849071069437808e-05,346.92403717815637
Costumes,8.715566959885493e-05,0.0003890101363128,346.33944997872044
