,tot,counts
Team Performance Management,280741534.0,3342.0
Water Conservation,9438485.0,217.0
Receiving Procedures,6106994.5,170.0
CentOS,34754791.0,300.0
Certified Hazardous Materials Manager,5909852.0,65.0
Air Separation,1649347.0,22.0
Cost Management,129664720.0,1479.0
American Society For Quality (ASQ) Certified,36610214.0,529.0
Order To Cash Process,69933576.0,656.0
Relationship Marketing,7508254.0,130.0
Sales Operations,232927006.5,2626.0
Security Controls,172735543.0,1472.0
Stock Keeping Unit,39153104.5,775.0
Requirements Specifications,31700927.0,371.0
Recruitment Process Outsourcing,417000.0,6.0
Capacity Development,6848852.0,96.0
Mechanic's Lien,1869961.5,29.0
Eight Disciplines Problem Solving (8D),36599736.5,414.0
GIAC Intrusion Prevention,5986086.0,56.0
Wix,2661294.0,55.0
Control Framework,19491527.0,173.0
Property Accounting,25685356.5,338.0
Bus Driving,13894979.0,361.0
Estoppel,2302043.5,33.0
Structural Steel,23704642.0,395.0
Automated External Defibrillator,54249309.0,1067.0
Formal Learning,37246344.5,418.0
Job Descriptions,15094361.5,252.0
Electrical Safety,28317837.5,408.0
Tax Returns,324621233.0,4008.0
Preventive Healthcare,33015798.0,316.0
Expense Forecasting,4985021.5,55.0
Fashion Knowledge,7631288.0,199.0
Real Property,27174737.0,298.0
Corporate Strategy,74954090.5,652.0
Patient/Family Education,36361923.5,452.0
Product Analysis,20431351.5,222.0
Qualitative Analysis,53713363.0,516.0
Service Delivery Improvement,19264624.0,241.0
FedRAMP,16475343.0,124.0
Wafer Fabrication,52500.0,1.0
Multiple-Camera Production,2643943.5,45.0
Business Systems Analysis,216339585.0,2200.0
Digital Content Strategy,8232822.5,104.0
Retention Rate,23347761.5,336.0
Contextual Advertising,83297899.0,967.0
Professionalism,3967165329.5,82840.0
Freight Control Processes,27910225.0,491.0
Physical Layers,16059785.0,185.0
Production Equipment,301126148.5,5863.0
Business Education,7953261.0,110.0
IBM Maximo,31463542.5,466.0
Financial Management,532094864.5,6137.0
Tuxedo (Software),6448670.5,135.0
Patient Transport,87575305.0,1521.0
Design Verification,39121288.0,355.0
Water Testing,15671110.0,296.0
Water Services,5910476.5,116.0
Graph Database,15261940.5,119.0
Product And Manufacturing Information,27584213.5,448.0
Heart Rate,70918021.0,928.0
Federal Lending,3740153.5,49.0
Cutover Planning And Management,11556755.5,90.0
Database Management,267160371.5,4382.0
Economic Modeling,38253002.0,437.0
Clinical Nutrition,17696129.0,266.0
Sewage Treatments,45260714.5,575.0
JMP (Statistical Software),5177472.0,56.0
Composting,3803736.5,74.0
Corporate Services,16805482.5,189.0
Challenge Driven,3445858.5,46.0
Group Travel,2876014.5,49.0
CompTIA Certification,24664919.5,337.0
Transit Authorization,14449586.5,176.0
Azure DevOps,328149936.0,2640.0
Business Process Reengineering,70363896.0,639.0
Certified Surgical Technologist (CST),25184728.5,343.0
Materials Transport,72759107.0,1718.0
Trustworthiness,333258342.5,6665.0
Technical Presentations,42362594.5,372.0
Certified Outpatient Coder (COC),10350954.0,169.0
Chemical Safety,8357922.5,203.0
Image Retrieval,1070466.0,8.0
Fortinet,36685383.0,350.0
Billboards,10707419.5,181.0
Finger Dexterity,119880983.0,2736.0
Cancer Genetics,1445876.0,14.0
Freight Forwarding,96133016.0,1757.0
Java (Programming Language),2317744053.5,18528.0
Authentication Protocols,8605136.0,76.0
Oral Health,83956902.5,890.0
Web Scraping,3743766.5,37.0
Photo Manipulation,6998482.5,108.0
NIH Stroke Scale (NIHSS),51829877.5,450.0
Upskilling,25558821.5,226.0
Planned Giving,45722507.0,466.0
Yoast,1187129.0,18.0
Myers-Briggs Type Indicator,1557874.0,26.0
Residual-Current Devices,4041711.0,83.0
Diagnostic Tools,71615401.0,1073.0
Business Architecture,53723277.5,401.0
Enterprise Security,72048258.0,521.0
Wide Area Networks,295733374.0,3178.0
Synchro (Traffic Simulation Software),4974441.5,58.0
Core Product,30578322.5,308.0
Google Analytics,258596616.0,3359.0
Business Lending,18051851.5,207.0
Gas Chromatography Mass Spectrometry,13898181.5,195.0
Performance Measurement,93854778.0,1025.0
Electrical Codes,33926866.0,520.0
Dryers,47466058.0,1007.0
Amp Probes,3650964.5,57.0
Consumer Privacy,11408807.5,125.0
Investment Trust,4104762.0,32.0
Interdisciplinary Research,2509651.0,35.0
Word Processing,767007338.5,15219.0
Lazy Loading,839360.0,8.0
PHP (Scripting Language),259364993.0,2575.0
Standards Organization,7104654.5,68.0
Human Capital,81363558.5,737.0
Opscenter,1338693.0,11.0
Sanitary Sewer,26512581.5,402.0
Revenue Management,63595773.5,768.0
Liquidity Forecasting,1253063.0,12.0
Decision Tree Learning,33398215.5,284.0
UI Components,36709745.5,295.0
Clinical Laboratory Science,42550571.0,522.0
Data Import/Export,58922874.0,777.0
In Vitro Diagnostics,7090584.5,81.0
Product Lifecycle Management,299642279.0,2733.0
Bare Metal,23526380.0,177.0
Non-Profit Accounting,9077368.5,122.0
Tableau CRM,10154963.0,95.0
Data Collection,917723793.0,12399.0
Field Inspection,53696345.0,811.0
Nationwide Mortgage Licensing System (NMLS),18607320.0,262.0
Safety Engineering,10334268.5,109.0
Content Curation,17732173.0,235.0
Scaled Agile Framework,42189807.0,301.0
Compliance Management,95467730.5,1036.0
Cloud Computing Architecture,156268970.0,1103.0
Marketing Operations,97651723.0,1076.0
Prime Brokerage,7174876.5,66.0
MEDITECH EHR,50170331.5,530.0
Licensed Master Social Worker,40815308.0,462.0
GoToWebinar,4624702.5,82.0
Splunk,250026879.5,1979.0
Service Improvement Planning,44919361.0,478.0
Acute Rehabilitation,7811463.0,75.0
Perl (Programming Language),262019871.0,2297.0
Commercial Cleaning,89653174.5,2389.0
Restoration,13973875.5,242.0
Security Awareness,57794789.0,562.0
Dealership Management Systems,22762023.0,314.0
Bed-Making,52142422.0,1440.0
Butchering,13870150.0,353.0
Single-Minute Exchange Of Die (SMED),9869237.0,125.0
Law Practice Management Software,21543920.5,415.0
Heat Maps,7068569.5,59.0
Ping (Networking Utility),42108151.0,430.0
Microsoft Dynamics NAV,83799710.0,1005.0
Glass Cutters,2687556.0,37.0
Visualforce,96919802.0,772.0
Document Preparations,61885527.0,1000.0
VMware VSphere,44363171.0,430.0
Cognitive Assessment Systems,1047086.0,12.0
Flight Training,7652362.0,125.0
Fingerstick,18387633.0,355.0
Market Opportunities,79634742.0,681.0
Educational Assessment,77966039.0,1381.0
Communications Protocols,92586821.5,962.0
Securities Market,11752776.0,109.0
Glaucoma,11260631.5,93.0
Respiratory Diseases,9203827.5,72.0
Sheet Metal,115052121.5,2065.0
MITRE ATT&CK Framework,25381190.0,188.0
Digital Access Carrier System,1175320.0,16.0
Snow Blowers,44276645.0,1040.0
Maintenance Testing,11508642.0,162.0
Service Design,33972739.5,277.0
Isolation Procedures,9864913.0,196.0
Safety Management Systems,5273410.5,49.0
Residential Development,3037110.0,36.0
Intranet Portal,1969477.0,28.0
Middleware,232890758.0,1844.0
Surfacing,2045880.0,30.0
Application Frameworks,20225211.5,161.0
Circumcision,675738.0,10.0
Sales Planning,47848126.0,503.0
Community Marketing,21079942.5,395.0
Spring Framework,490159958.0,4068.0
Social Issue,17860756.5,238.0
Dozer,2861360.0,54.0
Extensible Markup Language (XML),425231094.5,3733.0
Shipment Routing,21310354.0,149.0
Aerospace Industry,17076430.5,213.0
Fixed Asset Register,1431980.0,18.0
Titration,18056598.5,294.0
Mental Health Act,30056515.0,298.0
Communicating With Patients,42859729.0,939.0
Anesthesiology,83443918.0,513.0
Healthcare Services,14324415.5,165.0
Water Towers,3196550.5,54.0
Brand Compliance,6803494.5,109.0
Electric Meters,25612551.0,421.0
Indirect Tax,19634844.0,170.0
Business Concepts,53152958.5,515.0
Accident Prevention,32480987.5,596.0
Tissue Processors,1536401.0,27.0
Clinical Leadership,44426047.0,460.0
General Data Protection Regulation (GDPR),99542688.0,801.0
Plumbing Repair,36491402.0,751.0
Media Strategy,30884007.5,299.0
Interoperability,81723883.0,721.0
Vertical Market,39963936.0,364.0
Technical Sales,146443321.5,1617.0
Procore,100392891.0,1002.0
Production Line,397012995.0,9878.0
Automotive Detailing,41292884.0,1249.0
Pattern Matching,1377384.0,12.0
Supply Management,91929764.5,1325.0
Athletics And Fitness Association Of America (AFAA) Certification,28892274.5,459.0
Media Lists,12923034.0,242.0
Engineering Analysis,20425605.0,201.0
Breakage Control,33497061.5,896.0
Parkinson's Disease,10972615.5,218.0
Banner Ads,21770986.0,323.0
Ecology,30125830.5,647.0
Research Funding,5500375.5,71.0
Request For Information (RFI),23975169.5,257.0
Creative Brief,8745707.0,105.0
Pharmacy Benefit Management,46528424.0,393.0
Certified Safety Professional,41413943.5,459.0
Hand Signals,9996914.5,177.0
Patient Evaluation,84436931.5,987.0
Information Privacy,253779266.5,2482.0
Artwork,18392006.5,339.0
Tennis Instruction,6479204.0,131.0
Zuora,5503796.0,45.0
PowerBuilder,904006.5,7.0
Industrial Security,6314813.5,79.0
Hospitality Management,46452181.5,864.0
Service-Oriented Architecture,282313411.5,2376.0
Sales Metrics,74657307.5,1013.0
Time Study,29032419.0,411.0
Nursing Practices,302416340.0,3438.0
Bridge Construction,10526128.5,223.0
Cyber Incident Response,18547964.0,137.0
Team Motivation,145354888.0,1939.0
Securities Litigations,1003866.0,12.0
Business Transformation,118691391.0,921.0
Solaris (Operating System),33391397.0,302.0
Thread Dump Analysis,5839254.0,49.0
Peer Review,225994874.5,2295.0
Transaction Monitoring,7627734.5,87.0
Aluminum Welding,3135240.0,66.0
Surgical Technology,12241112.0,186.0
Chisels,14611057.5,324.0
Image Quality,15918438.0,214.0
Nursing,3320886762.5,42173.0
Electromechanics,172865069.0,2733.0
Outcomes Research,12828066.5,121.0
Android Applications,62900666.0,539.0
Community Health,122011077.5,1886.0
Executive Presence,173294004.0,1193.0
Data Abstraction,4149651.0,59.0
Wireless Sales,63417787.0,1481.0
Network Segmentation,14750112.0,125.0
Arc Welding,8688127.5,157.0
Deck Building,7114031.0,115.0
Provider Network Management,1266449.0,13.0
Sterile Solutions,2592264.0,50.0
Intermodal Container,2315876.0,35.0
Advent Geneva,1512950.0,15.0
Risk Mitigation,398530932.0,3751.0
Microsoft Edge,1763627.0,26.0
Design Specifications,132426075.0,1306.0
Tax Analysis,19100007.5,202.0
Outside Plant Engineering,5284797.5,71.0
Serbian Language,9353002.0,147.0
Clamp Truck Certification,930116.0,22.0
Factor Analysis,7912944.0,90.0
Product Data Management,19634296.5,202.0
Government Regulation Analysis,73644.0,1.0
Virtual Local Area Network (VLAN),74269362.0,770.0
Deep Learning,73863185.0,575.0
Neurobiology,1486784.0,22.0
Clinical Study Reports,29255783.5,276.0
Health Psychology,3484756.0,46.0
Individual Tax Returns,21208684.0,278.0
Shop Drawing,97335113.5,1428.0
Packet Data Convergence Protocol,423700.0,4.0
Clinical Documentation,100097592.5,1362.0
Cryptocurrency,29233308.0,267.0
Chartered Financial Analyst,198361667.0,1661.0
Software Installation,108944341.0,1497.0
Medical Device Assembly,4407620.0,117.0
Accounts Receivable,1400807545.0,25877.0
Best Execution,8920158.0,107.0
Product Family Engineering,84182301.5,623.0
Tridion,4345277.5,28.0
Sepsis,16799968.5,171.0
BIOS,19526842.5,334.0
Accounting Information Systems,45534610.0,515.0
Snow Plowing,73423221.5,1399.0
Genetic Algorithm,730800.0,8.0
Phone Sales,401848022.0,6030.0
Computer Vision,30805856.5,243.0
Water Filters,2423947.5,50.0
AWS SageMaker,20492166.5,139.0
Infusions,28017799.5,313.0
Construction Health And Safety Technician,8507599.0,92.0
Management Control,20406781.0,209.0
Air Distribution Systems,1602253.0,26.0
Plant Design Management System (PDMS),13885924.5,92.0
Design Assurance,3640705.5,37.0
Certified Information System Auditor (CISA),169517200.5,1452.0
Risk Management,1387828149.5,14420.0
Trade Relations,3625251.5,38.0
Product Inspection,202041730.0,5529.0
Wavelength-Division Multiplexing,5954183.0,64.0
Plasmapheresis,4935112.5,110.0
Window Function,2539248.0,21.0
Time Management,5309614779.0,93735.0
Magnetic Resonance Imaging (MRI) Certification,912672.0,12.0
Wound Healing,5229693.5,58.0
Respite Care,4937080.0,128.0
Visual Design,131516374.5,1279.0
Metadata Management,52427666.5,403.0
JAX-WS,5285522.0,45.0
Video Processing,3722055.0,27.0
Laparoscopy,7609971.5,71.0
Bulk Mail,4004207.0,109.0
Muscles,830320.0,11.0
Patient Management Software,73730834.0,1024.0
Infrastructure Management,49759068.5,375.0
Bereavement Care,1180066.0,22.0
Live Streaming,23436062.0,345.0
Red Hat Satellite,3009485.5,28.0
Proposal Management,27138303.5,272.0
Music Appreciation,686626.0,13.0
Certified Employee Benefit Specialist,13658514.5,156.0
Aluminum,75313913.5,1628.0
Windows Programming,907200.0,6.0
Airframe & Powerplant (A&P) Certificate,23333778.0,336.0
Certified Software Asset Manager (CSAM),258162.0,3.0
Robotics,105224432.0,1315.0
Health Sciences,71669657.5,1028.0
Ground Rods,851614.5,12.0
Drug Administration,78037306.0,957.0
Atmospheric Pressure,12245648.0,301.0
Loans,929569235.5,11981.0
Market Value,25302552.0,326.0
Forklift Safety,29089857.5,732.0
Resilience Planning,4126377.0,39.0
PHP Frameworks,7398060.0,73.0
External Marketing,40846548.5,627.0
Apoptosis,45000.0,1.0
Teacher Quality Assessments,10464403.0,141.0
Grep,1639948.0,14.0
Head Start Performance Standards,22011337.5,487.0
Action Oriented,123764364.5,1732.0
Define Measure Analyze Improve And Control (DMAIC),28286451.5,303.0
Turnaround Time,38352373.5,643.0
Drip Irrigation,3736520.0,73.0
Virtual Firewall,142000.0,1.0
Civil Engineering,285258847.0,2951.0
Adaptability,656715649.0,12361.0
Nephrology Nurses Certification Commission,320450.5,7.0
Sales Presentations,388245006.0,5203.0
Wound Care,191231671.5,2082.0
Loyalty Marketing,5373012.5,65.0
Global Delivery Model,20184468.5,173.0
Computational Biology,3324852.0,33.0
Vehicle Emissions Controls,6099019.5,115.0
Audacity (Audio Editing Software),2008838.0,26.0
Financial Risk Management,17933531.0,147.0
Driven Personality,24688776.0,245.0
Business Support Systems,87407793.5,972.0
Motor Vehicle Operation,256680464.5,4273.0
Management Accounting,56346838.0,684.0
Scientific Writing,10620586.0,100.0
Operating Cost,57668324.0,710.0
Real Estate Settlement Procedures Act,22189663.0,302.0
Secretarial Experience,29508609.0,670.0
Baidu,528826.5,6.0
Cisco TelePresence,847540.0,14.0
Employee Communications,42438788.0,579.0
Application Development,836759861.0,6732.0
Pet First Aid,713420.0,16.0
LAMP (Software Bundle),29096916.0,346.0
Speeds And Feeds,14249487.0,281.0
Association Rule Learning,4420559.0,67.0
Equipment Inspection,160163759.5,3092.0
Data Privacy Laws,7397006.5,66.0
Continuous Production,17685895.0,359.0
German Language,38659582.5,589.0
Health Promotion,72604679.0,1014.0
Docker Swarm,17374919.0,130.0
ANCC Certified,37488878.5,305.0
Ubuntu (Operating System),27964191.5,257.0
Bladder Cancer,29997402.0,604.0
Certified Cost Professional (CCP),322500.0,3.0
Call Flow,10046035.5,132.0
Augmentative And Alternative Communications,20973223.5,276.0
Welding,298063510.5,5397.0
Optometry,190475820.5,3204.0
Industrial Relations,27510041.5,365.0
Sales Acumen,24438194.5,331.0
Chassis,34658537.0,642.0
Security Analysis,26556286.0,218.0
Industrial Internet Of Things (IIoT),15017447.0,125.0
Underground Storage Tanks (UST),7200063.5,104.0
Food Preparation,568383581.0,16276.0
Microsoft Certified Desktop Support Technician,1720400.0,34.0
RF And Microwave Filter,5067327.5,57.0
Artifactory,82075717.5,623.0
Business Networking,38097937.5,472.0
Fascia,14134609.5,232.0
Strategic Partnership,120746819.0,993.0
Value Averaging,14573698.5,151.0
Zoho Office Suite,24150856.5,402.0
Medical Device Reporting,32334182.5,355.0
Museum Operations,5059439.5,102.0
AppExchange,26226453.0,231.0
Static Program Analysis,33738683.0,260.0
Transitional Care,58467140.0,881.0
Amazon Redshift,151692493.0,1115.0
User Guide,2451439.0,22.0
Guest Relations,79857951.0,2117.0
Cultural Competency Training,208068.0,4.0
Geology,64816538.5,797.0
Sorting Machines,5182328.0,148.0
Dynamic Application Security Testing (DAST),30309708.5,212.0
Project Drawings,18411202.0,251.0
Orthotics,22798036.5,364.0
Lifeguard Certification,22627539.0,727.0
Noise Vibration And Harshness (Automotive),2567380.0,32.0
Project Management Life Cycle,180472579.5,1546.0
SAP SuccessFactors,14051446.0,122.0
Emerging Risk,60097276.5,464.0
Music Therapy,7402100.0,126.0
Environmental Consulting,10591073.5,107.0
Brand Marketing,72934690.5,865.0
Amazon DocumentDB,7273602.5,54.0
Resource Management,268260555.0,2641.0
SQL And Java (SQLJ),7618650.0,65.0
Ultimate Load,13971645.0,503.0
Job Interviews,10082131.5,169.0
10-Hour OSHA General Industry Card,60080387.5,908.0
Porcine Animal Care,62500.0,2.0
Supply Chain Risk Management,1960433.0,19.0
Aurora (Operating System),4507764.5,123.0
Visual Impairment Education,18284400.5,296.0
Mobile Data,9055376.5,163.0
Biochemical Techniques,209900.0,5.0
Talend,74136830.0,602.0
Process Hazard Analysis,10645272.5,69.0
Labor Legislation,5389437.0,90.0
Microsoft Office,6628737307.5,114778.0
Business Objects Processing Framework,731078.0,7.0
Machine Tools,146168185.5,2953.0
Organizational Development,129108220.5,1498.0
IMac,14025931.0,290.0
Quality Function Deployment (QFD),580000.0,6.0
Wave Soldering,1073431.5,30.0
Certified Business Analysis Professional,11163004.5,98.0
Assertiveness,252631442.0,4239.0
Dynatrace,95493695.5,762.0
Outbound Calls,455728319.0,10706.0
Certified Commercial Investment Member (CCIM),5061695.0,28.0
Amazon Elastic Compute Cloud,200381345.5,1564.0
Grounding Systems,1952518.5,28.0
Social Perceptiveness,25782547.5,603.0
Ensemble Methods,756500.0,6.0
Design Tool,6965266.5,60.0
Ratios Analysis,4992590.0,58.0
Account Strategy,80431192.5,686.0
Social Media Management,144786598.0,2937.0
Real Time Data,79896663.0,659.0
Mills,167482435.5,3039.0
Accounting Analysis,29578011.0,388.0
Corrosion Control,2370892.5,34.0
Operations Management,936503111.5,14613.0
Final Drawings,2512320.0,39.0
Hedge Accounting,3349953.0,32.0
Interactive Communications,57449163.5,1191.0
Pathophysiology,14132954.5,169.0
Financial Modeling,393858447.5,3745.0
Medical Sales,114331300.0,1257.0
Associate Of The Society Of Actuaries,10390691.0,81.0
Supervising Graduate Students,341022.5,6.0
Mortgage Loan Processing,51605174.0,834.0
Wildlife Monitoring,1395933.0,30.0
Design Codes,4292984.0,41.0
Patient Comfort,19212981.5,353.0
Licensed Nursing Home Administrator (LNHA),9143919.0,86.0
Transgenic Mice,347343.0,9.0
Debating,18783492.5,223.0
Adult Cardiopulmonary Resuscitation (CPR),6430008.5,162.0
Audit Management,16521914.5,169.0
Exponential Smoothing,62500.0,1.0
Microsoft Project,447852984.5,4306.0
Coupling,22294266.0,401.0
Exercise Science,47434098.5,949.0
GIAC Information Security Fundamentals,1549036.0,13.0
Business Coaching,16601428.0,145.0
Wireless LAN,31298213.5,328.0
Contract Drafting,34823549.0,384.0
Management Auditing,12871766.5,142.0
Blood Glucose Monitoring,12040878.0,251.0
Autodesk Maya,11870285.5,145.0
Alzheimer's Disease,65045562.0,1680.0
Zoning (Networking),9970998.0,124.0
Business Intelligence Development,20765450.5,193.0
Dynamic Web Pages,485109.0,5.0
Human Resource Strategy,53473746.0,496.0
Performance Bond,3706215.5,48.0
Pharmacy Experience,60723823.5,1077.0
Business Development,2188575945.5,24721.0
Risk Modeling,28647992.0,229.0
Cloud Hosting,61123226.5,468.0
Revenue Forecasting,82958216.5,800.0
Pharmacy Law,4206331.0,110.0
Brand Alignment,4535303.5,51.0
Medicinal Chemistry,2337931.0,34.0
Analytic Applications,58098439.0,563.0
Content Manager OnDemand (CMOD),1060456.0,8.0
npm (Node Package Manager),55607249.5,468.0
Ruby (Programming Language),316141722.5,2489.0
Vendor Management,408006392.0,4428.0
Statistical Analysis,256755755.5,2780.0
Sales Optimization,24464474.0,334.0
Dispatching,104269671.5,2274.0
Orthodontics,83343825.0,1621.0
Rockwell FactoryTalk,12707614.0,114.0
Hand Welding,1420559.0,33.0
Catering Arrangements,8551395.0,192.0
Standard Operating Procedure,908393169.0,18572.0
Virtual Teams,264033174.0,2241.0
Materials Testing,9848102.0,164.0
Scala (Programming Language),328124135.5,2291.0
Order Picking,512083711.0,14894.0
Basic Writing,31740090.5,919.0
Espresso Beverages,28033972.0,834.0
Environmentalism,9815538.0,109.0
Data Processing Systems,16892205.0,251.0
ARRT Computed Tomography (CT) Certification,9206918.0,97.0
Interaction Design,78884743.0,690.0
Soil Sampling,4909114.5,80.0
Six Sigma Black Belt,39038652.0,365.0
Relational Databases,644097549.5,5694.0
GoToMeeting,15378926.5,195.0
Occupational Medicine,24348568.0,215.0
Base Station Subsystem,4996808.0,43.0
Contract Lifecycle Management,10335435.5,93.0
Simulated Annealing,372500.0,2.0
Invasive Species Management,16271298.5,358.0
Electronic Displays,9534749.5,110.0
Transportation Management,52921012.5,894.0
DOT Certified Medical Examiner,3226728.0,32.0
Clinical Research,196491326.5,2062.0
Site Security,79736679.5,2029.0
Network Model,1870580.0,13.0
Spiritual Care,8850002.5,148.0
Tape Recorders,3529034.5,84.0
Root Cause Corrective Action,27612930.5,347.0
Voice Over IP,60068177.0,607.0
Microsoft Desktop Optimization Pack,6959591.5,119.0
Kubeflow,4440421.0,28.0
Claims Processing,194850986.5,3054.0
Small Molecules,19932055.0,270.0
Multiple-Input And Multiple-Output (MIMO),4405283.5,45.0
Facility Inspection,25485077.5,466.0
Linux Administration,69976240.5,557.0
Zettabyte File System (ZFS),7310300.0,62.0
Retail Banking,66840148.5,1108.0
Sealants,27886767.0,530.0
Market Access Strategy,9328453.0,55.0
Coronary Artery Disease,946376.5,8.0
Archive File,2740135.5,63.0
AntiFreeze,15283736.0,234.0
Corporate Finance,393351904.5,3548.0
IBM Notes,17379074.5,225.0
Swedish Language,11702099.5,250.0
Copier Repair And Maintenance,4998025.5,142.0
Facebook Blueprint Certification,2069190.0,37.0
Consensus Decision-Making,57535511.0,510.0
Applied Economics,897310.0,10.0
Abscesses,1426931.5,11.0
Registered Cardiac Sonographer (RCS),3250726.5,41.0
Process Management,144433169.0,1494.0
Service Assurance,8724332.5,85.0
Methadone,9553069.5,180.0
Clinical Trial Management Systems,55160543.0,738.0
Community Management,33677303.0,544.0
Development Management,54376148.0,516.0
Cyber Engineering,41706339.0,370.0
Program Evaluation,133472983.5,1875.0
AMT Asset Management Software,1551442.0,35.0
Personal Care,450287059.0,13095.0
Color Theory,14728221.5,234.0
Pipe (Fluid Conveyance),58456876.5,1062.0
Instrumental Music,1792093.5,32.0
eTapestry (Fundraising Software),1703974.0,31.0
Public Health Interventions,1211905.5,13.0
Graphic Arts,5561408.0,106.0
Codebase,40407950.0,300.0
Adobe InDesign,208529167.0,3600.0
Seating Guests,41532191.5,1364.0
Medical Diagnosis,30802306.0,702.0
LinkedIn Recruiter,32258574.5,375.0
Rotating Equipment,23711871.0,320.0
Animal Care,73559484.5,1733.0
Window Treatments,20718756.0,445.0
Hepatitis B,40717496.0,750.0
Economic Growth,21082479.0,248.0
Wireshark,74051356.0,673.0
Nephrology Nursing,1773720.0,22.0
Interdisciplinary Teaching,11014097.0,109.0
Session Initiation Protocols,54228774.0,607.0
Advising,624851749.5,7871.0
Domestic Roof Construction,8438680.0,110.0
Control Engineering,39432389.5,576.0
Locomotive,4547165.0,68.0
Process Analysis,49740377.5,536.0
Breads,28505386.5,832.0
Maintenance Engineering,18795318.0,315.0
Elderly Care,28711759.0,626.0
Business Reporting,60062086.0,801.0
Attack Surface Management,7312426.0,48.0
Safe Restraining Techniques (Veterinary),20352246.0,617.0
Multivariate Testing,12268850.0,123.0
Vuex,2546780.0,26.0
Medical Surgical Nursing,488360945.5,4718.0
Origami,3391309.0,40.0
Digital Sales,28098866.0,355.0
Treatment Planning,1100649845.0,14713.0
Prolonged Exposure Therapy,5859004.5,145.0
Production Management,242106127.0,4108.0
Current Assets,2400180.0,29.0
Pipeline Planning,1292046.5,18.0
NFPA (National Fire Protection Association) Codes,61338863.0,801.0
Adaptive Reuse,3667971.0,35.0
Space Allocation Problem,12224117.0,227.0
Systems Of Measurement,23957652.5,321.0
Technical Supervision,21727185.5,283.0
Flexographic Printing Press Operation,15919217.0,348.0
Object Detection,2584857.0,22.0
Behavioral Medicine,5000098.0,67.0
Statutory Accounting Principles,12684361.5,134.0
Security Assertion Markup Language (SAML),120665438.5,947.0
Herbicides,51141249.0,881.0
Transaction Data,27287480.5,325.0
Optics,59028816.0,681.0
Revenue Growth,289773849.5,3029.0
Complex Networks,40260901.5,372.0
Registered Diagnostic Cardiac Sonographer (RDCS),14723534.5,137.0
Debian Linux,10976774.5,99.0
Operations Research,114021201.0,1195.0
Interventional Cardiology,15383609.5,100.0
Kronos (Timekeeping Software),64888872.5,990.0
Narcotics,23618999.5,326.0
Smart Buildings,8552965.0,94.0
Technology Adoption Lifecycle,11478827.0,86.0
Expense Account,4490982.5,72.0
Grammar,457028875.5,9073.0
Bash (Scripting Language),327979393.0,2695.0
Concurrency Controls,3260825.0,26.0
Market Structure,7703876.5,65.0
Bone Marrow Transplant,7181211.5,71.0
Localization,27186460.5,256.0
Psychotherapy,162651883.0,1919.0
Digital Marketing,564674092.0,7285.0
Brochures,135255313.0,2438.0
Database Management Systems,95816374.5,1162.0
Microbiology,116827054.5,1885.0
Fact Checking,15283821.5,286.0
Office Automation,50864735.0,813.0
OSHA Certification,38905344.5,575.0
Meeting Facilitation,147642544.5,1598.0
Tanker And Hazmat Combo X Endorsement,170770525.5,1839.0
Workplace Diversity,1631552.0,34.0
Gmail,45148339.0,935.0
Actuarial Science,49794824.0,390.0
Persistence,156937499.5,2248.0
Industrial Repair And Maintenance,151000165.0,2445.0
Tableau (Business Intelligence Software),716233229.0,6704.0
Disciplinary Procedures,39456420.0,849.0
Field Marketing,71479193.5,1043.0
Student Learning Outcomes,17664420.0,285.0
Sales Qualification,45005315.0,490.0
Discrete Element Modeling Software,311800.0,4.0
Vocal Coaching,10996510.0,178.0
Category Strategy,67483556.0,511.0
Drug-Food Interaction,3488476.5,38.0
Process Capability,26983538.0,325.0
Camshaft,257853.5,6.0
Registered Pharmacist (RPh),52230243.0,575.0
Integrated Care,99015693.0,1270.0
Coupa (Spend Management Software),24014703.0,236.0
Protein Precipitation,2334066.0,40.0
Technology Education,1068937.0,12.0
Criminal Justice,54504609.0,920.0
MuleSoft Anypoint,16120723.0,135.0
High-Level Shader Language,375000.0,5.0
Adobe Connect,2863683.5,52.0
Advanced Encryption Standard (AES),15339238.0,158.0
Land-Use Planning,11416050.0,130.0
Environmental Compliance,64400814.5,634.0
Deskside Support,19440001.0,355.0
Pharmacist Assistance,25428535.0,703.0
Spyware,8995812.0,148.0
Java Servlet,25080192.0,216.0
Licensed Vocational Nurse (LVN),208510628.5,3282.0
Public Health,173095944.5,2198.0
HVAC Certification,39758929.5,807.0
Basic Life Support Instructor (BLS-I),3532670.0,57.0
Requirements Management,152028547.5,1881.0
Mass Media,6858075.5,93.0
Workers' Compensation,98438307.0,1382.0
Jamstack,1673700.0,12.0
Greeting Customers,805742305.5,24569.0
Freight Invoices,8998791.0,200.0
Product Layout,2398358.0,47.0
Hepatology,8664547.5,91.0
Operational-Level Agreement,8468335.0,90.0
Physical Security,110046851.5,2405.0
Map Reading,59739842.0,1527.0
GraphQL,122270865.0,887.0
Financial Stress Testing,26187607.0,203.0
Data Synthesis,49126992.5,511.0
Wicklander-Zulawski Certification,1243530.0,15.0
Virtual Learning Environments,15217449.5,262.0
Google Ad Manager,4555871.5,59.0
Registered Congenital Cardiac Sonographer (RCCS),67538.0,1.0
Fraud Investigation,11478308.0,135.0
Credit Facilities,8617749.0,83.0
