,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Pulmonology,0.0395943246973598,0.04054529547268474,0.0009509707753249386,2.4017855654660285,High,71584.06622053536,29-1000,29-2000,31-1100,31-9000,11-9000,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Educational Services,840.0555555555555,0.014993947838570748,16.0,0.07643401134535767
Quality Assurance and Control,0.0879554163029855,0.09526703645567812,0.007311620152692613,8.31287083845504,High,68940.36426933728,15-1200,11-9000,11-3000,17-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Hospitals,1854.888888888889,0.04837367796752819,27.0,0.11155628596234926
Regulation and Legal Compliance,0.170300274261407,0.1304114988277991,-0.039888775433607915,-23.422613737180225,Medium,50073.63727415879,53-3000,11-9000,41-4000,13-1000,49-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Food Services and Drinking Places,4142.0,0.0253941255957119,10.0,0.08062037502411389
Rehabilitation,0.0472336094497642,0.07096954947711732,0.023735940027353124,50.25222570084916,High,66163.3934887049,29-1000,21-1000,31-2000,11-9000,29-2000,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Administrative and Support Services,884.5,0.08013395345976104,25.0,0.15532333441709628
Risk Management,0.0092795190706203,0.007113290001823316,-0.0021662290687969833,-23.34419545141556,High,95636.43908260216,13-2000,15-1200,11-9000,13-1000,11-3000,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,259.4861111111111,0.0029148564763328447,29.0,0.06930275481666831
Scheduling,0.0745528379689533,0.2664554525397171,0.1919026145707638,257.40484171867405,High,50695.7793679333,43-6000,11-9000,13-1000,29-2000,43-4000,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Hospitals,1508.625,0.20933410130869903,21.0,0.11345255797338244
Social Skills,0.1371934198680831,0.12341973992895512,-0.013773679939127967,-10.039606821064675,Medium,54500.555595384896,15-1200,11-9000,29-1000,13-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Hospitals,2983.430555555556,0.021783232208933474,15.0,0.17268462334017864
Supply Chain Management,0.0055287120328615,0.0053200930387147,-0.00020861899414679943,-3.7733742127788905,Low,74531.90404244383,13-1000,11-3000,15-1200,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods",203.77777777777777,0.0,5.0,0.035049543707157446
Surgery,0.0890649795803597,0.08220667216351915,-0.006858307416840542,-7.700341311651648,High,88658.39565685089,29-1000,29-2000,31-9000,11-9000,43-6000,Unclassified Industry,Administrative and Support Services,Hospitals,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",2050.6944444444443,0.02847335986879051,22.0,0.07724153333574571
Teaching,0.0808384806259266,0.10089574501205298,0.020057264386126372,24.811530635935263,High,59371.697529119774,25-2000,15-1200,11-9000,25-1000,29-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,1807.1944444444443,0.03399088851383717,25.0,0.10224885189398954
Training Programs,0.0122909127946832,0.02749108829794532,0.015200175503262121,123.6700296973664,High,68506.01479638602,15-1200,13-1000,11-9000,29-1000,49-9000,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,270.9583333333333,0.03398668341081421,25.0,0.1320295401247481
Writing and Editing,0.0636465706807551,0.05358203987147242,-0.010064530809282685,-15.813154898423946,Medium,60438.37760852285,27-3000,13-1000,15-1200,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1368.5,0.010962613241989064,28.0,0.09333528676027047
